Round,Belenenses,Boavista,Desp. Aves,FC Porto,Famalicão,Gil Vicente,Marítimo,Moreirense,Paços Ferreira,Portimonense,Rio Ave,SC Braga,SL Benfica,Santa Clara,Sporting CP,Tondela,V. Guimarães,V. Setúbal
1,1,3,0,0,3,3,1,0,0,1,1,3,3,0,1,1,1,1
2,1,4,3,3,6,3,1,3,0,4,1,3,6,3,4,1,2,1
3,2,5,3,6,7,4,1,4,1,4,4,4,6,4,7,4,3,2
4,2,8,3,9,10,5,4,7,1,4,7,4,9,5,7,5,3,3
5,5,9,3,12,13,5,4,7,1,4,7,4,12,8,8,8,6,6
6,5,10,3,15,16,6,5,7,4,5,10,5,15,8,8,8,9,7
7,5,11,3,18,19,6,8,7,4,5,10,8,18,11,11,9,12,7
8,8,12,3,21,19,7,9,8,5,6,11,11,21,11,14,9,12,8
9,8,15,3,22,22,7,10,9,5,6,12,11,24,12,17,12,15,9
10,11,15,3,25,23,10,10,10,5,7,12,12,27,13,17,15,16,12
11,11,15,3,28,24,13,11,11,8,8,15,15,30,13,20,15,16,12
12,14,18,3,31,24,16,11,14,8,11,15,18,33,13,20,15,17,13
13,15,18,6,32,24,16,12,14,8,11,18,18,36,14,23,18,20,16
14,15,18,6,35,24,17,15,17,11,12,19,18,39,14,26,18,21,19
15,15,19,6,38,27,18,18,17,14,13,19,21,42,17,26,19,21,19
16,15,19,6,41,30,21,19,17,15,14,22,24,45,17,29,19,22,19
17,15,19,9,41,31,22,20,18,16,14,25,27,48,17,29,20,25,22
18,18,22,9,44,31,22,20,18,16,14,28,30,51,20,32,20,25,25
19,18,25,12,47,32,22,20,21,16,14,29,33,54,23,32,23,25,25
20,18,28,12,50,32,23,21,22,16,14,32,34,54,26,35,24,28,26
21,21,28,13,53,33,26,24,23,16,15,33,37,54,29,36,24,28,26
22,24,28,13,56,33,26,24,26,19,15,36,40,57,29,39,24,31,26
23,25,28,13,59,36,29,24,27,22,16,37,43,58,29,39,24,34,27
24,26,29,13,60,37,30,24,30,22,16,38,46,59,30,42,25,37,28
25,29,29,13,60,40,30,25,33,25,19,38,46,60,33,43,26,38,29
26,30,32,13,63,43,30,25,33,25,20,41,46,61,34,46,29,39,30
27,30,35,14,64,44,30,28,34,28,21,41,47,64,35,49,29,40,30
28,30,35,14,67,45,33,28,35,31,24,44,50,64,38,52,29,40,30
29,31,38,14,70,45,33,31,38,31,27,47,50,64,38,55,30,43,30
30,31,38,14,73,48,36,34,39,34,27,47,53,67,38,56,30,46,30
31,31,38,17,76,49,39,37,42,34,27,50,56,68,38,59,30,46,30
32,32,38,17,79,52,42,38,43,35,30,51,57,71,41,59,30,46,30
33,35,39,17,82,53,42,38,43,38,30,52,57,74,42,60,33,49,31
34,35,39,17,82,54,43,39,43,39,33,55,60,77,43,60,36,50,34
