,Season,Player,Team,J,G,ASS,INF,PINF,SeasonOrder
0,0405,Jorginho,V. Setúbal,32,9,9,18,39,11.0
1,0405,Hugo Viana,Sporting CP,32,6,8,14,21,11.0
2,0405,Simão Sabrosa,SL Benfica,34,15,8,23,45,11.0
3,0405,Ricardo Nascimento,Rio Ave,19,3,7,10,29,11.0
4,0405,Juninho Petrolina,Belenenses,24,1,7,8,21,11.0
5,0405,Wender,SC Braga,33,9,7,16,36,11.0
6,0405,Fábio Rochemback,Sporting CP,23,1,6,7,11,11.0
7,0405,Luciano Fonseca,Académica,31,6,6,12,41,11.0
8,0405,Nandinho,Gil Vicente,30,7,6,13,38,11.0
9,0405,Clayton,Penafiel,29,5,6,11,28,11.0
10,0405,Petit,SL Benfica,29,2,6,8,16,11.0
11,0405,Manuel José,V. Setúbal,31,3,5,8,17,11.0
12,0405,Alan,Marítimo,30,3,5,8,21,11.0
13,0405,Liedson,Sporting CP,31,25,5,30,45,11.0
14,0405,Carlos Martins,Sporting CP,22,5,4,9,14,11.0
15,0405,Wendel,Nacional,15,4,4,8,17,11.0
16,0405,Pedro Barbosa,Sporting CP,30,0,4,4,6,11.0
17,0405,Neca,Belenenses,27,1,4,5,13,11.0
18,0405,Azar Karadas,SL Benfica,27,4,4,8,16,11.0
19,0405,Silva,V. Guimarães,23,7,4,11,29,11.0
20,0506,Fajardo,Naval,32,4,10,14,40,12.0
21,0506,Ricardo Quaresma,FC Porto,29,5,9,14,26,12.0
22,0506,José Pedro,Belenenses,25,4,7,11,28,12.0
23,0506,Filipe Teixeira,Académica,30,3,7,10,27,12.0
24,0506,Zé Manuel,Boavista,26,3,6,9,24,12.0
25,0506,Petit,SL Benfica,30,3,6,9,18,12.0
26,0506,Manuel José,Boavista,33,3,6,9,24,12.0
27,0506,Miguelito,Nacional,34,1,6,7,18,12.0
28,0506,Jorginho,FC Porto,28,4,5,9,17,12.0
29,0506,Ousmane N’Doye,"FC Penafiel, Académica OAF",25,3,5,8,29,12.0
30,0506,Edson,Paços Ferreira,29,3,5,8,21,12.0
31,0506,Nélson,SL Benfica,25,0,5,5,10,12.0
32,0506,Carlitos,Gil Vicente,32,5,5,10,27,12.0
33,0506,Nandinho,Gil Vicente,31,5,5,10,27,12.0
34,0506,Pedrinha,Paços Ferreira,32,1,5,6,16,12.0
35,0506,Patacas,Nacional,31,0,5,5,13,12.0
36,0506,Mateus,Gil Vicente,4,2,4,6,16,12.0
37,0506,Hugo Leal,SC Braga,12,0,4,4,11,12.0
38,0506,Diogo Valente,Boavista,23,2,4,6,16,12.0
39,0506,Jaime Júnior,"SC Braga, UD Leiria",26,0,4,4,8,12.0
40,0607,Ricardo Quaresma,FC Porto,26,6,17,23,35,13.0
41,0607,Leandro Romagnoli,Sporting CP,23,1,6,7,13,13.0
42,0607,João Vieira Pinto,SC Braga,24,2,6,8,23,13.0
43,0607,Juliano Spadacio,Nacional,25,3,6,9,22,13.0
44,0607,Simão Sabrosa,SL Benfica,24,11,6,17,31,13.0
45,0607,José Pedro,Belenenses,26,8,6,14,39,13.0
46,0607,Rodrigo Tello,Sporting CP,24,2,5,7,13,13.0
47,0607,Zé Manuel,Boavista,28,5,5,10,31,13.0
48,0607,Nani,Sporting CP,29,5,5,10,19,13.0
49,0607,Tiago Gomes,E. Amadora,28,2,5,7,30,13.0
50,0607,Nélson,SL Benfica,28,0,5,5,9,13.0
51,0607,Silvestre Varela,V. Setúbal,30,2,5,7,33,13.0
52,0607,Anderson,FC Porto,15,2,4,6,9,13.0
53,0607,Yannick Djaló,Sporting CP,24,5,4,9,17,13.0
54,0607,Fabrizio Miccoli,SL Benfica,22,10,4,14,25,13.0
55,0607,Georgios Karagounis,SL Benfica,26,2,4,6,11,13.0
56,0607,Alonso,Nacional,25,1,4,5,12,13.0
57,0607,Marcinho,Marítimo,27,4,4,8,27,13.0
58,0607,Kostas Katsouranis,SL Benfica,29,6,4,10,18,13.0
59,0607,Lito,Naval,30,5,4,9,32,13.0
60,0708,Lucho González,FC Porto,28,3,12,15,25,
61,0708,Ricardo Quaresma,FC Porto,27,8,8,16,27,
62,0708,Wender,SC Braga,26,2,7,9,28,
63,0708,Mateus,E. Amadora,29,4,7,11,38,
64,0708,Ricardo Esteves,Marítimo,25,0,6,6,15,
65,0708,Yves Desmarets,V. Guimarães,30,4,6,10,29,
66,0708,Marek Čech,FC Porto,16,0,5,5,8,
67,0708,Edson,Paços Ferreira,26,5,5,10,32,
68,0708,Cláudio Pitbull,V. Setúbal,25,7,5,12,32,
69,0708,Jorge Ribeiro,Boavista,26,8,5,13,41,
70,0708,Liedson,Sporting CP,26,11,5,16,35,
71,0708,Alan,V. Guimarães,29,1,5,6,17,
72,0708,José Pedro,Belenenses,30,8,5,13,35,
73,0708,Diogo Valente,Leixões,17,1,4,5,19,
74,0708,Ángel Di María,SL Benfica,26,0,4,4,9,
75,0708,Evandro Roncatto,Belenenses,28,3,4,7,19,
76,0708,Davide,Naval,28,0,4,4,17,
77,0708,Léo,SL Benfica,27,0,4,4,9,
78,0708,Rui Costa,SL Benfica,29,5,4,9,20,
79,0708,Silas,Belenenses,29,2,4,6,16,
80,0809,Alonso,Nacional,29,2,10,12,26,15.0
81,0809,Ferreira,Paços Ferreira,21,2,8,10,27,15.0
82,0809,Mariano González,FC Porto,24,4,7,11,18,15.0
83,0809,José Antonio Reyes,SL Benfica,24,4,6,10,19,15.0
84,0809,Raul Meireles,FC Porto,28,4,6,10,16,15.0
85,0809,Lisandro López,FC Porto,28,10,6,16,26,15.0
86,0809,João Moutinho,Sporting CP,27,3,6,9,20,15.0
87,0809,Modou Sougou,Académica,23,4,5,9,32,15.0
88,0809,Hugo Leal,Trofense,21,3,5,8,32,15.0
89,0809,Hulk,FC Porto,25,8,5,13,21,15.0
90,0809,Luis Aguiar,SC Braga,28,4,5,9,24,15.0
91,0809,Rúben Micael,Nacional,26,4,5,9,19,15.0
92,0809,Mateus,Nacional,28,5,5,10,21,15.0
93,0809,Liedson,Sporting CP,26,17,5,22,49,15.0
94,0809,Marcinho,Marítimo,29,6,5,11,31,15.0
95,0809,Bruno Pereirinha,Sporting CP,25,1,4,5,11,15.0
96,0809,Miguel Pedro,Académica,25,0,4,4,14,15.0
97,0809,Djalma Campos,Marítimo,26,6,4,10,29,15.0
98,0809,Derlei,Sporting CP,23,7,4,11,24,15.0
99,0809,Pablo Aimar,SL Benfica,22,1,4,5,9,15.0
100,0910,Ángel Di María,SL Benfica,26,5,11,16,21,16.0
101,0910,Fernando Belluschi,FC Porto,27,3,10,13,19,16.0
102,0910,Fábio Coentrão,SL Benfica,26,0,8,8,10,16.0
103,0910,Hulk,FC Porto,19,5,7,12,17,16.0
104,0910,Pablo Aimar,SL Benfica,25,4,7,11,14,16.0
105,0910,Marcinho,Marítimo,13,1,6,7,17,16.0
106,0910,Djalma Campos,Marítimo,28,6,6,12,29,16.0
107,0910,Hélder Barbosa,V. Setúbal,26,2,6,8,28,16.0
108,0910,Radamel Falcao,FC Porto,28,25,6,31,44,16.0
109,0910,Ukra,Olhanense,28,1,6,7,23,16.0
110,0910,Liedson,Sporting CP,28,13,6,19,45,16.0
111,0910,Fredy Guarín,FC Porto,19,4,5,9,13,16.0
112,0910,Hugo Viana,SC Braga,28,4,5,9,19,16.0
113,0910,Javier Saviola,SL Benfica,27,11,5,16,21,16.0
114,0910,Rúben Micael,"Nacional, FC Porto",26,2,5,7,17,16.0
115,0910,Miguel Veloso,Sporting CP,25,3,5,8,19,16.0
116,0910,Emídio Rafael,Académica,26,1,5,6,16,16.0
117,0910,Óscar Cardozo,SL Benfica,29,26,5,31,40,16.0
118,0910,Neca,V. Setúbal,11,2,4,6,21,16.0
119,0910,Luis Aguiar,SC Braga,14,3,4,7,15,16.0
120,1011,Hulk,FC Porto,26,23,13,36,49,17.0
121,1011,James Rodríguez,FC Porto,15,2,10,12,16,17.0
122,1011,Artur,Beira-Mar,26,4,8,12,38,17.0
123,1011,Saviola,SL Benfica,24,9,7,16,26,17.0
124,1011,Bruno Gama,Rio Ave,29,2,7,9,26,17.0
125,1011,Pablo Aimar,SL Benfica,23,5,6,11,18,17.0
126,1011,Fernando Belluschi,FC Porto,26,2,6,8,11,17.0
127,1011,Paulo Sérgio,Olhanense,24,2,6,8,33,17.0
128,1011,João Moutinho,FC Porto,27,0,6,6,8,17.0
129,1011,Daniel Candeias,Portimonense,28,1,6,7,24,17.0
130,1011,Rúben Micael,FC Porto,19,0,5,5,7,17.0
131,1011,Mateus,Nacional,23,2,5,7,25,17.0
132,1011,Álvaro Pereira,FC Porto,21,0,5,5,7,17.0
133,1011,Nico Gaitán,SL Benfica,26,7,5,12,20,17.0
134,1011,Diogo Valente,Académica,29,2,5,7,22,17.0
