,Season,SeasonOrder,Team,Round,TotalPoints,Position
0,2021,27,Sporting CP,1,3,1
1,2021,27,Belenenses,1,3,2
2,2021,27,FC Porto,1,3,3
3,2021,27,Santa Clara,1,3,4
4,2021,27,SL Benfica,1,3,5
5,2021,27,Moreirense,1,3,6
6,2021,27,Rio Ave,1,1,7
7,2021,27,Nacional,1,1,8
8,2021,27,Boavista,1,1,9
9,2021,27,Paços Ferreira,1,1,10
10,2021,27,Portimonense,1,1,11
11,2021,27,Tondela,1,1,12
12,2021,27,Famalicão,1,0,13
13,2021,27,Marítimo,1,0,14
14,2021,27,Farense,1,0,15
15,2021,27,SC Braga,1,0,16
16,2021,27,V. Guimarães,1,0,17
17,2021,27,Gil Vicente,1,0,18
18,2021,27,FC Porto,2,6,1
19,2021,27,Sporting CP,2,6,2
20,2021,27,SL Benfica,2,6,3
21,2021,27,Santa Clara,2,6,4
22,2021,27,Nacional,2,4,5
23,2021,27,Belenenses,2,3,6
24,2021,27,Gil Vicente,2,3,7
25,2021,27,Famalicão,2,3,8
26,2021,27,Moreirense,2,3,9
27,2021,27,Marítimo,2,3,10
28,2021,27,Rio Ave,2,2,11
29,2021,27,Boavista,2,1,12
30,2021,27,Portimonense,2,1,13
31,2021,27,Paços Ferreira,2,1,14
32,2021,27,Tondela,2,1,15
33,2021,27,V. Guimarães,2,1,16
34,2021,27,Farense,2,0,17
35,2021,27,SC Braga,2,0,18
36,2021,27,Sporting CP,3,9,1
37,2021,27,SL Benfica,3,9,2
38,2021,27,Santa Clara,3,7,3
39,2021,27,FC Porto,3,6,4
40,2021,27,Marítimo,3,6,5
41,2021,27,Nacional,3,5,6
42,2021,27,Famalicão,3,4,7
43,2021,27,Belenenses,3,4,8
44,2021,27,Moreirense,3,4,9
45,2021,27,Gil Vicente,3,4,10
46,2021,27,V. Guimarães,3,4,11
47,2021,27,Rio Ave,3,3,12
48,2021,27,SC Braga,3,3,13
49,2021,27,Boavista,3,2,14
50,2021,27,Tondela,3,1,15
51,2021,27,Paços Ferreira,3,1,16
52,2021,27,Portimonense,3,1,17
53,2021,27,Farense,3,0,18
54,2021,27,SL Benfica,4,12,1
55,2021,27,Sporting CP,4,10,2
56,2021,27,V. Guimarães,4,7,3
57,2021,27,Santa Clara,4,7,4
58,2021,27,FC Porto,4,7,5
59,2021,27,Marítimo,4,6,6
60,2021,27,SC Braga,4,6,7
61,2021,27,Famalicão,4,5,8
62,2021,27,Gil Vicente,4,5,9
63,2021,27,Belenenses,4,5,10
64,2021,27,Nacional,4,5,11
65,2021,27,Moreirense,4,5,12
66,2021,27,Paços Ferreira,4,4,13
67,2021,27,Portimonense,4,4,14
68,2021,27,Rio Ave,4,3,15
69,2021,27,Tondela,4,2,16
70,2021,27,Boavista,4,2,17
71,2021,27,Farense,4,1,18
72,2021,27,SL Benfica,5,15,1
73,2021,27,Sporting CP,5,13,2
74,2021,27,FC Porto,5,10,3
75,2021,27,SC Braga,5,9,4
76,2021,27,Moreirense,5,8,5
77,2021,27,Santa Clara,5,7,6
78,2021,27,V. Guimarães,5,7,7
79,2021,27,Rio Ave,5,6,8
80,2021,27,Marítimo,5,6,9
81,2021,27,Nacional,5,6,10
82,2021,27,Famalicão,5,6,11
83,2021,27,Tondela,5,5,12
84,2021,27,Gil Vicente,5,5,13
85,2021,27,Paços Ferreira,5,5,14
86,2021,27,Belenenses,5,5,15
87,2021,27,Portimonense,5,4,16
88,2021,27,Boavista,5,3,17
89,2021,27,Farense,5,1,18
90,2021,27,Sporting CP,6,16,1
91,2021,27,SL Benfica,6,15,2
92,2021,27,SC Braga,6,12,3
93,2021,27,FC Porto,6,10,4
94,2021,27,V. Guimarães,6,10,5
95,2021,27,Santa Clara,6,10,6
96,2021,27,Rio Ave,6,9,7
97,2021,27,Moreirense,6,8,8
98,2021,27,Paços Ferreira,6,8,9
99,2021,27,Marítimo,6,7,10
100,2021,27,Nacional,6,7,11
101,2021,27,Belenenses,6,6,12
102,2021,27,Famalicão,6,6,13
103,2021,27,Boavista,6,6,14
104,2021,27,Gil Vicente,6,5,15
105,2021,27,Tondela,6,5,16
106,2021,27,Portimonense,6,4,17
107,2021,27,Farense,6,2,18
108,2021,27,Sporting CP,7,19,1
109,2021,27,SC Braga,7,15,2
110,2021,27,SL Benfica,7,15,3
111,2021,27,FC Porto,7,13,4
112,2021,27,Paços Ferreira,7,11,5
113,2021,27,Santa Clara,7,10,6
114,2021,27,V. Guimarães,7,10,7
115,2021,27,Rio Ave,7,10,8
116,2021,27,Nacional,7,10,9
117,2021,27,Famalicão,7,9,10
118,2021,27,Tondela,7,8,11
119,2021,27,Moreirense,7,8,12
120,2021,27,Belenenses,7,7,13
121,2021,27,Marítimo,7,7,14
122,2021,27,Boavista,7,6,15
123,2021,27,Gil Vicente,7,5,16
124,2021,27,Farense,7,5,17
125,2021,27,Portimonense,7,4,18
126,2021,27,Sporting CP,8,22,1
127,2021,27,SL Benfica,8,18,2
128,2021,27,SC Braga,8,18,3
129,2021,27,FC Porto,8,16,4
130,2021,27,Paços Ferreira,8,14,5
131,2021,27,V. Guimarães,8,13,6
132,2021,27,Santa Clara,8,10,7
133,2021,27,Nacional,8,10,8
134,2021,27,Rio Ave,8,10,9
135,2021,27,Famalicão,8,9,10
136,2021,27,Moreirense,8,8,11
137,2021,27,Gil Vicente,8,8,12
138,2021,27,Belenenses,8,8,13
139,2021,27,Tondela,8,8,14
140,2021,27,Portimonense,8,7,15
141,2021,27,Boavista,8,7,16
142,2021,27,Marítimo,8,7,17
143,2021,27,Farense,8,5,18
144,2021,27,Sporting CP,9,23,1
145,2021,27,SL Benfica,9,21,2
146,2021,27,FC Porto,9,19,3
147,2021,27,SC Braga,9,18,4
148,2021,27,V. Guimarães,9,16,5
149,2021,27,Paços Ferreira,9,14,6
150,2021,27,Santa Clara,9,13,7
151,2021,27,Rio Ave,9,11,8
152,2021,27,Belenenses,9,11,9
153,2021,27,Nacional,9,10,10
154,2021,27,Famalicão,9,10,11
155,2021,27,Gil Vicente,9,9,12
156,2021,27,Moreirense,9,9,13
157,2021,27,Tondela,9,8,14
158,2021,27,Boavista,9,8,15
159,2021,27,Farense,9,8,16
160,2021,27,Portimonense,9,7,17
161,2021,27,Marítimo,9,7,18
