,Season,Team,A,2A,VE
0,9495,U. Madeira,108,6,5
1,9495,U. Leiria,100,4,5
2,9495,SL Benfica,96,5,4
3,9495,Beira-Mar,95,7,3
4,9495,Boavista,93,6,3
5,9495,Farense,92,6,0
6,9495,Belenenses,92,6,1
7,9495,Desp. Chaves,91,5,2
8,9495,Salgueiros,90,11,1
9,9495,Tirsense,87,6,3
10,9495,V. Guimarães,85,8,3
11,9495,E. Amadora,84,4,1
12,9495,Gil Vicente,80,2,3
13,9495,FC Porto,77,3,4
14,9495,V. Setúbal,77,4,3
15,9495,Sporting CP,74,1,2
16,9495,SC Braga,67,1,4
17,9495,Marítimo,63,4,1
18,9596,Leça,116,12,8
19,9596,Campomaiorense,104,11,2
20,9596,Gil Vicente,101,6,1
21,9596,SC Braga,100,4,4
22,9596,Tirsense,100,2,2
23,9596,E. Amadora,99,5,0
24,9596,SL Benfica,97,5,1
25,9596,U. Leiria,96,6,3
26,9596,Desp. Chaves,90,3,2
27,9596,Felgueiras,87,4,2
28,9596,Farense,86,6,3
29,9596,Boavista,86,5,0
30,9596,Salgueiros,80,5,1
31,9596,Sporting CP,78,3,6
32,9596,Belenenses,78,8,0
33,9596,V. Guimarães,74,4,1
34,9596,FC Porto,72,1,3
35,9596,Marítimo,69,3,2
36,9697,SC Braga,123,8,5
37,9697,U. Leiria,121,11,6
38,9697,Farense,118,6,3
39,9697,Sp. Espinho,117,6,3
40,9697,Rio Ave,105,8,1
41,9697,V. Guimarães,104,7,3
42,9697,E. Amadora,103,6,0
43,9697,Marítimo,103,4,5
44,9697,Belenenses,102,5,1
45,9697,Salgueiros,101,5,2
46,9697,Boavista,100,6,6
47,9697,V. Setúbal,100,3,2
48,9697,Gil Vicente,98,8,4
49,9697,Desp. Chaves,96,8,0
50,9697,Sporting CP,94,3,1
51,9697,SL Benfica,91,9,1
52,9697,FC Porto,91,5,2
53,9697,Leça,78,0,4
54,9798,Belenenses,120,8,4
55,9798,SC Braga,119,10,2
56,9798,Farense,107,6,4
57,9798,Académica,106,7,2
58,9798,Desp. Chaves,105,7,2
59,9798,Boavista,101,2,2
60,9798,Varzim,99,4,3
61,9798,FC Porto,99,2,4
62,9798,V. Setúbal,98,7,5
63,9798,Campomaiorense,96,7,2
64,9798,Sporting CP,93,6,3
65,9798,E. Amadora,91,3,2
66,9798,V. Guimarães,87,6,4
67,9798,Rio Ave,87,5,4
68,9798,Leça,82,5,4
69,9798,SL Benfica,81,3,2
70,9798,Salgueiros,80,6,2
71,9798,Marítimo,72,8,1
72,9899,Campomaiorense,128,8,1
73,9899,Marítimo,121,5,0
74,9899,Beira-Mar,117,4,3
75,9899,Boavista,115,9,0
76,9899,Alverca,112,13,4
77,9899,SC Braga,107,8,6
78,9899,Farense,107,5,7
79,9899,V. Guimarães,105,6,1
80,9899,V. Setúbal,105,5,3
81,9899,U. Leiria,103,6,2
82,9899,Desp. Chaves,100,9,6
83,9899,SL Benfica,98,7,2
84,9899,Académica,95,2,2
85,9899,Salgueiros,95,3,3
86,9899,FC Porto,89,2,2
87,9899,E. Amadora,83,4,1
88,9899,Rio Ave,83,3,4
89,9899,Sporting CP,82,4,1
90,9900,Campomaiorense,119,13,3
91,9900,Alverca,116,10,3
92,9900,Boavista,111,10,2
93,9900,V. Setúbal,107,8,1
94,9900,E. Amadora,104,6,5
95,9900,SC Braga,103,2,1
96,9900,Salgueiros,101,4,3
97,9900,Marítimo,99,2,2
98,9900,U. Leiria,98,7,5
99,9900,SL Benfica,96,3,2
100,9900,Gil Vicente,89,3,2
101,9900,Santa Clara,88,1,3
102,9900,Belenenses,82,2,2
103,9900,Farense,80,7,1
104,9900,FC Porto,77,2,3
105,9900,Rio Ave,74,3,1
106,9900,Sporting CP,69,2,1
107,9900,V. Guimarães,52,1,0
108,0001,Campomaiorense,128,8,1
109,0001,Belenenses,119,8,2
110,0001,Paços Ferreira,109,5,1
111,0001,Gil Vicente,106,8,2
112,0001,SC Braga,105,2,1
113,0001,E. Amadora,104,5,1
114,0001,U. Leiria,101,2,5
115,0001,Alverca,101,3,1
116,0001,Beira-Mar,98,6,2
117,0001,Desp. Aves,98,2,3
118,0001,SL Benfica,97,5,6
119,0001,Boavista,88,1,3
120,0001,Marítimo,86,3,2
121,0001,V. Guimarães,84,7,4
122,0001,Salgueiros,84,3,3
123,0001,FC Porto,79,1,0
124,0001,Sporting CP,73,1,1
125,0001,Farense,67,3,0
126,0102,Alverca,111,4,2
127,0102,Paços Ferreira,106,7,5
128,0102,SC Braga,105,4,5
129,0102,Beira-Mar,104,3,4
130,0102,U. Leiria,101,2,4
131,0102,Farense,100,5,5
132,0102,V. Setúbal,99,5,4
