,Season,Team,Games,Won,Drawn,Lost,Points,GoalsScored,GoalsConceded,GoalsDifference,A,2A,VE,SeasonOrder
0,2021,Sporting CP,31,24,7,0,79,56,15,41,74,2,1,27
1,2021,FC Porto,32,22,8,2,74,67,29,38,51,3,1,27
2,2021,SL Benfica,31,20,7,4,67,59,22,37,64,0,0,27
3,2021,SC Braga,32,18,6,8,60,51,32,19,55,1,4,27
4,2021,Paços Ferreira,32,14,8,10,50,37,37,0,58,0,2,27
5,2021,V. Guimarães,31,12,6,13,42,35,39,-4,64,0,2,27
6,2021,Moreirense,32,9,13,10,40,33,41,-8,70,1,0,27
7,2021,Santa Clara,31,10,7,14,37,37,36,1,81,1,1,27
8,2021,Belenenses,31,8,13,10,37,22,28,-6,79,3,2,27
9,2021,Gil Vicente,32,10,6,16,36,30,40,-10,60,2,2,27
10,2021,Tondela,31,10,6,15,36,33,50,-17,70,2,3,27
11,2021,Portimonense,32,9,7,16,34,34,40,-6,72,0,1,27
12,2021,Famalicão,31,8,10,13,34,35,44,-9,81,2,2,27
13,2021,Marítimo,32,10,4,18,34,26,42,-16,83,2,1,27
14,2021,Rio Ave,31,6,13,12,31,23,35,-12,61,2,3,27
15,2021,Boavista,31,6,12,13,30,36,47,-11,73,5,3,27
16,2021,Farense,32,6,10,16,28,30,44,-14,67,3,3,27
17,2021,Nacional,31,6,7,18,25,28,51,-23,84,1,3,27
18,1920,FC Porto,34,26,4,4,82,74,22,52,87,2,1,26
19,1920,SL Benfica,34,24,5,5,77,71,26,45,71,1,1,26
20,1920,SC Braga,34,18,6,10,60,61,40,21,91,2,4,26
21,1920,Sporting CP,34,18,6,10,60,49,34,15,91,3,0,26
22,1920,Rio Ave,34,15,10,9,55,48,36,12,71,2,5,26
23,1920,Famalicão,34,14,12,8,54,53,51,2,99,3,8,26
24,1920,V. Guimarães,34,13,11,10,50,53,38,15,69,3,2,26
25,1920,Moreirense,34,10,13,11,43,42,44,-2,82,2,2,26
26,1920,Gil Vicente,34,11,10,13,43,40,44,-4,76,3,1,26
27,1920,Santa Clara,34,11,10,13,43,36,41,-5,75,1,2,26
28,1920,Marítimo,34,9,12,13,39,34,42,-8,98,1,5,26
29,1920,Boavista,34,10,9,15,39,28,39,-11,111,3,4,26
30,1920,Paços Ferreira,34,11,6,17,39,36,52,-16,112,4,2,26
31,1920,Tondela,34,9,9,16,36,30,44,-14,82,3,1,26
32,1920,Belenenses,34,9,8,17,35,27,54,-27,96,3,1,26
33,1920,V. Setúbal,34,7,13,14,34,27,43,-16,99,3,4,26
34,1920,Portimonense,34,7,12,15,33,30,45,-15,83,2,0,26
35,1920,Desp. Aves,34,5,2,27,17,24,68,-44,94,4,3,26
36,1819,SL Benfica,34,28,3,3,87,103,31,72,70,2,5,25
37,1819,FC Porto,34,27,4,3,85,74,20,54,61,0,1,25
38,1819,Sporting CP,34,23,5,6,74,72,33,39,100,2,5,25
39,1819,SC Braga,34,21,4,9,67,56,37,19,65,1,1,25
40,1819,V. Guimarães,34,15,7,12,52,46,34,12,68,2,1,25
41,1819,Moreirense,34,16,4,14,52,39,44,-5,74,2,3,25
42,1819,Rio Ave,34,12,9,13,45,50,52,-2,92,8,3,25
43,1819,Boavista,34,13,5,16,44,34,40,-6,104,4,2,25
44,1819,Belenenses,34,10,13,11,43,42,51,-9,73,3,3,25
45,1819,Santa Clara,34,11,9,14,42,43,45,-2,78,2,4,25
46,1819,Portimonense,34,11,6,17,39,44,59,-15,78,2,4,25
47,1819,Marítimo,34,12,3,19,39,26,44,-18,86,0,4,25
48,1819,V. Setúbal,34,8,12,14,36,28,39,-11,99,4,3,25
49,1819,Desp. Aves,34,10,6,18,36,35,49,-14,76,2,1,25
50,1819,Tondela,34,9,8,17,35,40,54,-14,101,6,7,25
51,1819,Desp. Chaves,34,8,8,18,32,34,57,-23,84,1,4,25
52,1819,Nacional,34,7,7,20,28,33,73,-40,84,4,0,25
53,1819,Feirense,34,3,11,20,20,27,64,-37,95,2,2,25
54,1718,FC Porto,34,28,4,2,88,82,18,64,67,2,1,24
55,1718,SL Benfica,34,25,6,3,81,80,22,58,60,1,0,24
56,1718,Sporting CP,34,24,6,4,78,63,24,39,70,3,0,24
57,1718,SC Braga,34,24,3,7,75,74,29,45,78,1,0,24
58,1718,Rio Ave,34,15,6,13,51,40,42,-2,84,2,5,24
59,1718,Desp. Chaves,34,13,8,13,47,47,55,-8,59,1,2,24
60,1718,Marítimo,34,13,8,13,47,36,49,-13,79,3,4,24
61,1718,Boavista,34,13,6,15,45,35,44,-9,93,1,1,24
62,1718,V. Guimarães,34,13,4,17,43,45,56,-11,77,2,4,24
63,1718,Portimonense,34,10,8,16,38,52,60,-8,71,3,2,24
64,1718,Tondela,34,10,8,16,38,41,50,-9,72,0,5,24
65,1718,Belenenses,34,9,10,15,37,33,46,-13,81,6,3,24
66,1718,Desp. Aves,34,9,7,18,34,36,51,-15,72,0,3,24
