,Season,SeasonOrder,Round,Date,Match,B365H,B365D,B365A
0,2021,27,1,2020-09-18,Famalicão 1 - 5 SL Benfica,7.5,5.0,1.36
1,2021,27,1,2020-09-18,V. Guimarães 0 - 1 Belenenses,1.45,4.33,7.0
2,2021,27,1,2020-09-19,Nacional 3 - 3 Boavista,2.55,3.1,2.87
3,2021,27,1,2020-09-19,FC Porto 3 - 1 SC Braga,1.61,4.0,5.0
4,2021,27,1,2020-09-20,Santa Clara 2 - 0 Marítimo,2.1,3.2,3.6
5,2021,27,1,2020-09-20,Moreirense 2 - 0 Farense,2.2,3.3,3.3
6,2021,27,1,2020-09-20,Tondela 1 - 1 Rio Ave,3.75,3.3,2.0
7,2021,27,1,2020-09-21,Portimonense 1 - 1 Paços Ferreira,2.15,3.2,3.5
8,2021,27,2,2020-09-25,SC Braga 0 - 1 Santa Clara,1.4,4.5,8.0
9,2021,27,2,2020-09-26,Marítimo 2 - 1 Tondela,2.2,3.0,3.6
10,2021,27,2,2020-09-26,SL Benfica 2 - 0 Moreirense,1.14,7.5,17.0
11,2021,27,2,2020-09-26,Boavista 0 - 5 FC Porto,7.5,4.33,1.4
12,2021,27,2,2020-09-27,Farense 0 - 1 Nacional,2.05,3.3,3.6
13,2021,27,2,2020-09-27,Gil Vicente 1 - 0 Portimonense,2.7,3.0,2.75
14,2021,27,2,2020-09-27,Paços Ferreira 0 - 2 Sporting CP,3.6,3.2,2.1
15,2021,27,2,2020-09-27,Rio Ave 0 - 0 V. Guimarães,2.87,3.1,2.55
16,2021,27,2,2020-09-28,Belenenses 1 - 2 Famalicão,2.4,3.2,3.0
17,2021,27,3,2020-02-10,Moreirense 1 - 1 Boavista,2.45,3.0,3.1
18,2021,27,3,2020-02-10,V. Guimarães 1 - 0 Paços Ferreira,1.7,3.6,5.0
19,2021,27,3,2020-03-10,Santa Clara 0 - 0 Gil Vicente,2.2,3.0,3.6
20,2021,27,3,2020-03-10,FC Porto 2 - 3 Marítimo,1.16,7.0,15.0
21,2021,27,3,2020-03-10,Tondela 0 - 4 SC Braga,6.0,4.2,1.55
22,2021,27,3,2020-04-10,Nacional 0 - 0 Belenenses,2.2,3.1,3.5
23,2021,27,3,2020-04-10,SL Benfica 3 - 2 Farense,1.11,9.0,17.0
24,2021,27,3,2020-04-10,Famalicão 1 - 1 Rio Ave,2.6,3.3,2.62
25,2021,27,3,2020-04-10,Portimonense 0 - 2 Sporting CP,4.2,3.6,1.83
26,2021,27,4,2020-10-17,Gil Vicente 1 - 1 Tondela,2.0,3.1,3.75
27,2021,27,4,2020-10-17,Marítimo 1 - 2 Portimonense,2.4,3.1,3.1
28,2021,27,4,2020-10-17,SC Braga 2 - 1 Nacional,1.33,4.5,7.0
29,2021,27,4,2020-10-17,Sporting CP 2 - 2 FC Porto,3.0,3.25,2.1
30,2021,27,4,2020-10-18,Belenenses 0 - 0 Moreirense,2.3,3.1,3.25
31,2021,27,4,2020-10-18,Paços Ferreira 2 - 1 Santa Clara,2.5,2.9,2.87
32,2021,27,4,2020-10-18,Farense 3 - 3 Famalicão,2.4,3.25,2.9
33,2021,27,4,2020-10-18,Rio Ave 0 - 3 SL Benfica,5.0,4.0,1.5
34,2021,27,4,2020-10-19,Boavista 0 - 1 V. Guimarães,3.8,3.3,2.0
35,2021,27,5,2020-10-23,Tondela 1 - 0 Portimonense,3.5,3.2,2.1
36,2021,27,5,2020-10-24,Nacional 1 - 1 Paços Ferreira,2.62,3.1,2.75
37,2021,27,5,2020-10-24,Santa Clara 1 - 2 Sporting CP,4.0,3.4,1.9
38,2021,27,5,2020-10-24,FC Porto 1 - 0 Gil Vicente,1.22,6.0,12.0
39,2021,27,5,2020-10-25,Farense 0 - 1 Rio Ave,3.2,3.3,2.2
40,2021,27,5,2020-10-25,Moreirense 2 - 1 Marítimo,2.6,3.2,2.75
41,2021,27,5,2020-10-25,Famalicão 2 - 2 Boavista,2.35,3.25,3.0
42,2021,27,5,2020-10-25,V. Guimarães 0 - 1 SC Braga,2.8,3.3,2.45
43,2021,27,5,2020-10-26,SL Benfica 2 - 0 Belenenses,1.11,8.5,19.0
44,2021,27,1,2020-10-28,Sporting CP 3 - 1 Gil Vicente,1.44,4.5,7.5
45,2021,27,6,2020-10-30,Paços Ferreira 3 - 2 FC Porto,6.5,4.2,1.5
46,2021,27,6,2020-10-31,Belenenses 1 - 1 Farense,2.45,3.0,3.0
47,2021,27,6,2020-10-31,Rio Ave 2 - 0 Moreirense,1.85,3.1,4.75
48,2021,27,6,2020-10-31,Marítimo 0 - 0 Nacional,2.1,3.2,3.6
49,2021,27,6,2020-01-11,Portimonense 1 - 2 Santa Clara,2.2,3.1,3.5
50,2021,27,6,2020-01-11,Gil Vicente 1 - 2 V. Guimarães,3.75,2.8,2.25
51,2021,27,6,2020-01-11,Sporting CP 4 - 0 Tondela,1.4,4.5,8.0
52,2021,27,6,2020-02-11,SC Braga 1 - 0 Famalicão,1.36,4.75,8.0
53,2021,27,6,2020-02-11,Boavista 3 - 0 SL Benfica,10.0,6.0,1.25
54,2021,27,7,2020-06-11,Belenenses 0 - 0 Rio Ave,3.5,3.2,2.15
55,2021,27,7,2020-07-11,Tondela 2 - 0 Santa Clara,2.87,3.2,2.5
56,2021,27,7,2020-07-11,Famalicão 2 - 1 Marítimo,2.15,3.25,3.3
57,2021,27,7,2020-07-11,V. Guimarães 0 - 4 Sporting CP,3.8,3.0,2.1
58,2021,27,7,2020-08-11,Farense 3 - 1 Boavista,2.5,3.1,2.9
59,2021,27,7,2020-08-11,Nacional 2 - 1 Gil Vicente,2.55,3.0,2.9
60,2021,27,7,2020-08-11,FC Porto 3 - 1 Portimonense,1.2,6.5,13.0
61,2021,27,7,2020-08-11,SL Benfica 2 - 3 SC Braga,1.57,4.2,5.25
62,2021,27,8,2020-11-27,Paços Ferreira 2 - 0 Famalicão,2.1,3.2,3.6
63,2021,27,8,2020-11-27,Tondela 0 - 2 V. Guimarães,4.33,3.6,1.8
64,2021,27,8,2020-11-28,Santa Clara 0 - 1 FC Porto,6.5,4.25,1.5
65,2021,27,8,2020-11-28,Sporting CP 2 - 1 Moreirense,1.25,5.75,11.0
66,2021,27,8,2020-11-29,Gil Vicente 2 - 0 Rio Ave,2.9,3.4,2.3
67,2021,27,8,2020-11-29,Portimonense 1 - 0 Nacional,2.1,3.5,3.3
68,2021,27,8,2020-11-29,Boavista 0 - 0 Belenenses,2.1,3.1,3.75
69,2021,27,8,2020-11-29,SC Braga 1 - 0 Farense,1.33,5.0,9.0
70,2021,27,8,2020-11-30,Marítimo 1 - 2 SL Benfica,9.0,5.5,1.3
71,2021,27,7,2020-01-12,Moreirense 0 - 1 Paços Ferreira,3.6,3.25,2.1
72,2021,27,9,2020-05-12,V. Guimarães 1 - 0 Portimonense,1.9,3.5,4.0
73,2021,27,9,2020-05-12,Moreirense 1 - 1 Gil Vicente,3.1,3.2,2.45
74,2021,27,9,2020-05-12,Famalicão 2 - 2 Sporting CP,5.75,4.2,1.53
75,2021,27,9,2020-05-12,FC Porto 4 - 3 Tondela,1.18,7.0,15.0
76,2021,27,9,2020-06-12,Nacional 1 - 3 Santa Clara,2.75,3.1,2.62
77,2021,27,9,2020-06-12,Rio Ave 0 - 0 Boavista,1.9,3.3,4.2
78,2021,27,9,2020-06-12,Belenenses 2 - 1 SC Braga,6.0,3.8,1.57
79,2021,27,9,2020-06-12,SL Benfica 2 - 1 Paços Ferreira,1.25,5.5,12.0
80,2021,27,9,2020-07-12,Farense 2 - 1 Marítimo,2.4,3.3,2.87
81,2021,27,10,2020-12-18,Portimonense 0 - 0 Famalicão,2.4,3.2,3.0
82,2021,27,10,2020-12-19,Marítimo 1 - 0 Belenenses,2.37,3.1,3.2
83,2021,27,10,2020-12-19,Tondela 0 - 0 Moreirense,2.37,3.2,3.0
84,2021,27,10,2020-12-19,Sporting CP 1 - 0 Farense,1.3,5.5,8.5
85,2021,27,10,2020-12-20,Paços Ferreira 1 - 1 Boavista,2.25,3.4,3.1
86,2021,27,10,2020-12-20,Gil Vicente 0 - 2 SL Benfica,7.0,4.75,1.4
87,2021,27,10,2020-12-20,FC Porto 2 - 0 Nacional,1.25,6.0,10.0
88,2021,27,10,2020-12-21,Santa Clara 0 - 4 V. Guimarães,2.8,3.2,2.5
89,2021,27,10,2020-12-22,SC Braga 3 - 0 Rio Ave,1.5,4.0,6.0
90,2021,27,11,2020-12-27,Famalicão 0 - 1 Gil Vicente,2.45,3.0,3.1
91,2021,27,11,2020-12-27,Nacional 2 - 0 Tondela,2.0,3.4,3.6
92,2021,27,11,2020-12-27,Farense 1 - 1 Paços Ferreira,2.75,3.25,2.55
93,2021,27,11,2020-12-27,Belenenses 1 - 2 Sporting CP,7.0,4.33,1.45
94,2021,27,11,2020-12-28,Rio Ave 1 - 3 Marítimo,1.85,3.4,4.33
95,2021,27,11,2020-12-28,Boavista 1 - 4 SC Braga,5.0,3.6,1.7
96,2021,27,11,2020-12-29,SL Benfica 2 - 1 Portimonense,1.2,6.5,12.0
97,2021,27,11,2020-12-29,Moreirense 1 - 0 Santa Clara,2.5,3.1,2.7
98,2021,27,11,2020-12-29,V. Guimarães 2 - 3 FC Porto,4.2,4.0,1.65
99,2021,27,12,2021-02-01,Sporting CP 2 - 0 SC Braga,2.0,3.6,3.5
100,2021,27,12,2021-03-01,Tondela 1 - 0 Famalicão,3.0,3.0,2.5
101,2021,27,12,2021-03-01,Marítimo 0 - 0 Boavista,2.6,3.0,2.9
