,Season,Player,Team,J,A,2A,VE,SeasonOrder
0,1112,Ney,V. Setúbal,23,12,1,0,18.0
1,1112,Elias,Sporting CP,25,12,1,0,18.0
2,1112,Diogo Cunha,Feirense,27,11,0,0,18.0
3,1112,Joãozinho,Beira-Mar,26,11,2,0,18.0
4,1112,Maurício Fernandes,Olhanense,27,11,1,0,18.0
5,1112,Maxi Pereira,SL Benfica,25,11,0,0,18.0
6,1112,Luisinho,Paços Ferreira,28,11,1,0,18.0
7,1112,Abdoulaye Ba,Académica,21,10,0,4,18.0
8,1112,Luís Neto,Nacional,25,10,0,0,18.0
9,1112,André Leão,Paços Ferreira,27,10,0,0,18.0
10,1112,Miguelito,V. Setúbal,27,10,1,0,18.0
11,1112,Ricardo Silva,V. Setúbal,27,10,1,1,18.0
12,1112,Rafael Miranda,Marítimo,28,10,1,0,18.0
13,1112,Sténio Santos,Feirense,22,9,0,0,18.0
14,1112,Javi García,SL Benfica,22,9,0,0,18.0
15,1112,Edson Henrique,U. Leiria,20,9,1,0,18.0
16,1112,André Pinto,Olhanense,21,9,1,0,18.0
17,1112,Bruno Amaro,V. Setúbal,23,9,0,0,18.0
18,1112,Stijn Schaars,Sporting CP,26,9,1,0,18.0
19,1112,Álvaro Pereira,FC Porto,23,9,0,0,18.0
20,1213,Wíres,Rio Ave,28,13,1,0,19.0
21,1213,Marcos Rojo,Sporting CP,24,12,2,0,19.0
22,1213,Valentin Roberge,Marítimo,27,12,1,0,19.0
23,1213,Filipe Augusto,Rio Ave,26,11,1,0,19.0
24,1213,Filipe Gonçalves,Moreirense,27,11,0,0,19.0
25,1213,Manuel da Costa,Nacional,16,10,2,0,19.0
26,1213,Paulo Tavares,V. Setúbal,26,10,1,0,19.0
27,1213,Luiz Carlos,Paços Ferreira,27,10,2,0,19.0
28,1213,Marçal,Nacional,27,10,2,0,19.0
29,1213,Márcio Rozário,Marítimo,20,9,1,0,19.0
30,1213,Reiner,Académica,21,9,0,0,19.0
31,1213,Fernando,FC Porto,24,9,0,0,19.0
32,1213,Pedro Santos,V. Setúbal,28,9,1,0,19.0
33,1213,Jander,Olhanense,24,9,0,0,19.0
34,1213,Fito Rinaudo,Sporting CP,23,9,0,0,19.0
35,1213,Cláudio,Gil Vicente,24,9,2,0,19.0
36,1213,Moreno,Nacional,27,9,1,1,19.0
37,1213,Steven Vitória,Estoril,27,9,2,1,19.0
38,1213,Custódio,SC Braga,28,9,0,0,19.0
39,1213,Marcelo,Rio Ave,28,9,0,0,19.0
40,1314,Nuno Coelho,Arouca,26,13,2,0,20.0
41,1314,Alex Sandro,FC Porto,26,13,0,0,20.0
42,1314,Marcelo,Rio Ave,24,12,1,0,20.0
43,1314,Luís Martins,Gil Vicente,23,11,0,1,20.0
44,1314,André André,V. Guimarães,26,11,0,0,20.0
45,1314,Luís Tinoco,Arouca,25,11,1,0,20.0
46,1314,Tarantini,Rio Ave,26,11,1,0,20.0
47,1314,Danielson,Gil Vicente,26,11,1,0,20.0
48,1314,Marçal,Nacional,27,11,1,0,20.0
49,1314,Zainadine Júnior,Nacional,20,10,0,0,20.0
50,1314,Márcio Rozário,Marítimo,21,10,1,0,20.0
51,1314,Diego Lopes,Rio Ave,27,10,0,0,20.0
52,1314,Aly Ghazal,Nacional,26,10,0,1,20.0
53,1314,Marcelo Goiano,Académica,25,10,1,0,20.0
54,1314,João Meira,Belenenses,27,10,2,0,20.0
55,1314,Filipe Ferreira,Belenenses,28,10,0,0,20.0
56,1314,Cédric Soares,Sporting CP,28,10,0,0,20.0
57,1314,Nuno Lopes,Rio Ave,13,9,2,0,20.0
58,1314,Filipe Gonçalves,Estoril,24,9,1,0,20.0
59,1314,Jean Barrientos,V. Guimarães,26,9,0,0,20.0
60,1415,Casemiro,FC Porto,28,13,0,0,21.0
61,1415,Adrien Silva,Sporting CP,30,13,1,0,21.0
62,1415,Nani,Sporting CP,27,13,1,0,21.0
63,1415,Rúben Ferreira,Marítimo,28,13,0,0,21.0
64,1415,Saleh Gomaa,Nacional,23,12,2,0,21.0
65,1415,Bruno Gaspar,V. Guimarães,24,12,1,0,21.0
66,1415,Andreas Samaris,SL Benfica,28,12,0,0,21.0
67,1415,Bernard Mensah,V. Guimarães,30,12,1,0,21.0
68,1415,Yohan Tavares,Estoril,30,12,0,1,21.0
69,1415,Pedro Ribeiro,Penafiel,26,11,1,0,21.0
70,1415,Marcelo Oliveira,Moreirense,27,11,1,0,21.0
71,1415,William Carvalho,Sporting CP,30,11,1,0,21.0
72,1415,Dani Soares,V. Setúbal,29,11,0,0,21.0
73,1415,David Simão,Arouca,32,11,1,0,21.0
74,1415,André André,V. Guimarães,31,11,0,0,21.0
75,1415,Maxi Pereira,SL Benfica,32,11,0,0,21.0
76,1415,Rúben Ribeiro,"Gil Vicente, Paços de Ferreira",22,10,1,0,21.0
77,1415,Philipe Sampaio,Boavista,23,10,3,0,21.0
78,1415,Sérgio Oliveira,Paços Ferreira,26,10,1,0,21.0
79,1415,Alhassan Wakaso,Rio Ave,29,10,0,0,21.0
80,1516,Lucas Souza,Tondela,26,14,1,0,22.0
81,1516,Alhassan Wakaso,Rio Ave,30,14,0,0,22.0
82,1516,Pelé,Paços Ferreira,29,13,0,0,22.0
83,1516,Idris Mandiang,Boavista,30,13,2,0,22.0
84,1516,Amilton Silva,U. Madeira,31,13,0,0,22.0
85,1516,Adilson Goiano,Arouca,27,12,0,0,22.0
86,1516,Adrien Silva,Sporting CP,29,12,0,1,22.0
87,1516,Fernando Alexandre,Académica,27,12,1,0,22.0
88,1516,Marcelo Oliveira,Moreirense,29,12,0,0,22.0
89,1516,Diego Carlos,Estoril,31,12,3,0,22.0
90,1516,Gian Martins,U. Madeira,25,11,0,0,22.0
91,1516,João Costinha,V. Setúbal,28,11,1,0,22.0
92,1516,William Alves,V. Setúbal,29,11,0,0,22.0
93,1516,Fábio Pacheco,V. Setúbal,29,11,1,1,22.0
94,1516,Fransérgio,Marítimo,31,11,1,0,22.0
95,1516,David Simão,Arouca,18,10,0,0,22.0
96,1516,Nikola Vukčević,SC Braga,18,10,1,0,22.0
97,1516,Filipe Gonçalves,Moreirense,26,10,0,0,22.0
98,1516,Marvin Zeegelaar,"Sporting, Rio Ave",23,10,0,0,22.0
99,1516,Henrique Dourado,V. Guimarães,28,10,1,0,22.0
100,1617,Vítor Bruno,Feirense,30,14,0,0,23.0
101,1617,Fábio Martins,Desp. Chaves,29,12,1,0,23.0
102,1617,Tiago Silva,Feirense,27,11,1,0,23.0
103,1617,Bruno Santos,Paços Ferreira,29,11,1,0,23.0
104,1617,Pierre Sagna,Moreirense,30,11,1,0,23.0
105,1617,Ricardo Dias,Feirense,17,10,2,0,23.0
106,1617,Ailton Silva,Estoril,18,10,0,0,23.0
107,1617,Tobias Figueiredo,Nacional,22,10,3,0,23.0
108,1617,Paulinho,"GD Chaves, SC Braga",22,10,0,0,23.0
109,1617,Vítor Gomes,Belenenses,28,10,0,0,23.0
110,1617,Vasco Fernandes,V. Setúbal,31,10,0,0,23.0
111,1617,Nuno Pinto,V. Setúbal,31,10,0,0,23.0
112,1617,Marcelo,Rio Ave,31,10,0,1,23.0
113,1617,João Costinha,V. Setúbal,32,10,0,0,23.0
114,1617,Walter González,Arouca,33,9,0,0,23.0
115,1617,Ousmane Dramé,Moreirense,24,9,0,0,23.0
116,1617,Éber Bessa,Marítimo,27,9,0,0,23.0
117,1617,Lazar Rosic,SC Braga,23,9,1,0,23.0
118,1617,Nikola Vukcevic,SC Braga,25,9,0,1,23.0
119,1617,Cris Santos,Feirense,28,9,1,0,23.0
120,1718,Babanco,Feirense,29,14,0,0,24.0
121,1718,Tiago Silva,Feirense,29,14,1,0,24.0
122,1718,Hassan Yebda,Belenenses,25,13,3,0,24.0
123,1718,Ângelo Neto,Moreirense,29,12,0,0,24.0
124,1718,Pedro Sá,Portimonense,28,12,0,0,24.0
125,1718,Raphael Rossi,Boavista,30,11,0,0,24.0
126,1718,Stéphane Sparagna,Boavista,22,10,0,0,24.0
127,1718,Allano,Estoril,29,10,1,0,24.0
128,1718,Raul Silva,SC Braga,25,10,1,0,24.0
129,1718,Nikola Vukcevic,SC Braga,31,10,0,0,24.0
130,1718,Marcelo,Rio Ave,30,10,0,1,24.0
131,1718,Tomané,Tondela,32,10,0,0,24.0
132,1718,Tarantini,Rio Ave,31,10,0,0,24.0
133,1718,João Góis,Paços Ferreira,17,9,0,1,24.0
134,1718,Nélson Lenho,Desp. Aves,22,9,0,0,24.0
135,1718,Bruno Santos,Paços Ferreira,23,9,1,0,24.0
136,1718,André Sousa,Belenenses,30,9,0,0,24.0
137,1718,Matheus Pereira,Desp. Chaves,27,9,0,0,24.0
138,1718,David Simão,Boavista,27,9,0,0,24.0
139,1718,Miguel Cardoso,Tondela,32,9,0,0,24.0
140,1819,Vítor Bruno,Feirense,28,15,0,0,25.0
141,1819,Fábio Coentrão,Rio Ave,21,13,2,0,25.0
142,1819,Nemanja Gudelj,Sporting CP,27,13,0,0,25.0
143,1819,Júlio César,Nacional,28,13,0,0,25.0
144,1819,Alhassan Wakaso,V. Guimarães,30,12,1,0,25.0
145,1819,Éber Bessa,V. Setúbal,31,11,1,0,25.0
146,1819,Tiago Silva,Feirense,29,11,0,0,25.0
147,1819,Sebastián Coates,Sporting CP,31,11,1,0,25.0
148,1819,João Jaquité,Tondela,14,10,2,0,25.0
149,1819,Marcelo Goiano,SC Braga,29,10,0,0,25.0
150,1819,José Semedo,V. Setúbal,30,10,0,1,25.0
151,1819,Marcos Acuña,Sporting CP,30,10,1,0,25.0
152,1819,Felipe,FC Porto,31,10,0,0,25.0
153,1819,Rúben Dias,SL Benfica,32,10,0,0,25.0
154,1819,Jefferson Santos,Desp. Chaves,20,9,1,0,25.0
