,Season,Round,HomeTeam,AwayTeam
0,9495,1,Farense,Sporting CP
1,9495,1,Gil Vicente,Tirsense
2,9495,1,Desp. Chaves,Salgueiros
3,9495,1,FC Porto,SC Braga
4,9495,1,Marítimo,V. Setúbal
5,9495,1,Belenenses,E. Amadora
6,9495,1,V. Guimarães,Boavista
7,9495,1,U. Leiria,U. Madeira
8,9495,1,SL Benfica,Beira-Mar
9,9495,2,Sporting CP,Belenenses
10,9495,2,U. Madeira,SL Benfica
11,9495,2,Beira-Mar,FC Porto
12,9495,2,V. Setúbal,U. Leiria
13,9495,2,E. Amadora,Marítimo
14,9495,2,Boavista,Farense
15,9495,2,Tirsense,Desp. Chaves
16,9495,2,SC Braga,Gil Vicente
17,9495,2,Salgueiros,V. Guimarães
18,9495,3,Marítimo,U. Leiria
19,9495,3,Belenenses,Boavista
20,9495,3,SL Benfica,V. Setúbal
21,9495,3,E. Amadora,Sporting CP
22,9495,3,Gil Vicente,Beira-Mar
23,9495,3,Desp. Chaves,SC Braga
24,9495,3,FC Porto,U. Madeira
25,9495,3,Farense,Salgueiros
26,9495,3,V. Guimarães,Tirsense
27,9495,4,Sporting CP,Marítimo
28,9495,4,U. Madeira,Gil Vicente
29,9495,4,V. Setúbal,FC Porto
30,9495,4,Salgueiros,Belenenses
31,9495,4,Boavista,E. Amadora
32,9495,4,U. Leiria,SL Benfica
33,9495,4,Tirsense,Farense
34,9495,4,Beira-Mar,Desp. Chaves
35,9495,4,SC Braga,V. Guimarães
36,9495,5,Sporting CP,Boavista
37,9495,5,V. Guimarães,Beira-Mar
38,9495,5,Desp. Chaves,U. Madeira
39,9495,5,Belenenses,Tirsense
40,9495,5,E. Amadora,Salgueiros
41,9495,5,FC Porto,U. Leiria
42,9495,5,Farense,SC Braga
43,9495,5,Gil Vicente,V. Setúbal
44,9495,5,Marítimo,SL Benfica
45,9495,6,Tirsense,E. Amadora
46,9495,6,SC Braga,Belenenses
47,9495,6,U. Madeira,V. Guimarães
48,9495,6,Boavista,Marítimo
49,9495,6,Salgueiros,Sporting CP
50,9495,6,U. Leiria,Gil Vicente
51,9495,6,Beira-Mar,Farense
52,9495,6,V. Setúbal,Desp. Chaves
53,9495,6,SL Benfica,FC Porto
54,9495,7,Marítimo,FC Porto
55,9495,7,Gil Vicente,SL Benfica
56,9495,7,Boavista,Salgueiros
57,9495,7,Desp. Chaves,U. Leiria
58,9495,7,E. Amadora,SC Braga
59,9495,7,V. Guimarães,V. Setúbal
60,9495,7,Belenenses,Beira-Mar
61,9495,7,Farense,U. Madeira
62,9495,7,Sporting CP,Tirsense
63,9495,8,SC Braga,Sporting CP
64,9495,8,U. Leiria,V. Guimarães
65,9495,8,U. Madeira,Belenenses
66,9495,8,SL Benfica,Desp. Chaves
67,9495,8,V. Setúbal,Farense
68,9495,8,Salgueiros,Marítimo
69,9495,8,Beira-Mar,E. Amadora
70,9495,8,Tirsense,Boavista
71,9495,8,FC Porto,Gil Vicente
72,9495,9,Marítimo,Gil Vicente
73,9495,9,Boavista,SC Braga
74,9495,9,Belenenses,V. Setúbal
75,9495,9,E. Amadora,U. Madeira
76,9495,9,Salgueiros,Tirsense
77,9495,9,Desp. Chaves,FC Porto
78,9495,9,V. Guimarães,SL Benfica
79,9495,9,Farense,U. Leiria
80,9495,9,Sporting CP,Beira-Mar
81,9495,10,U. Madeira,Sporting CP
82,9495,10,Gil Vicente,Desp. Chaves
83,9495,10,Beira-Mar,Boavista
84,9495,10,V. Setúbal,E. Amadora
85,9495,10,SC Braga,Salgueiros
86,9495,10,Tirsense,Marítimo
87,9495,10,SL Benfica,Farense
88,9495,10,FC Porto,V. Guimarães
89,9495,10,U. Leiria,Belenenses
90,9495,11,Belenenses,SL Benfica
91,9495,11,Boavista,U. Madeira
92,9495,11,Salgueiros,Beira-Mar
93,9495,11,E. Amadora,U. Leiria
