,Season,Player,Team,J,G,PEN,AG,MPG,GTIT,GSUP,GPTS,GVIT,GRVV,PGE,SeasonOrder
0,9495,Hassan Nader,Farense,31,21,3,0,131,21,0,1,5,0,48,1.0
1,9495,Domingos Paciência,FC Porto,32,19,2,0,114,17,2,0,2,0,26,1.0
2,9495,Marcelo,Tirsense,33,17,3,0,163,17,0,0,3,0,49,1.0
3,9495,Artur,Boavista,32,16,4,0,175,16,0,1,1,0,40,1.0
4,9495,Edmílson,Salgueiros,34,15,1,0,198,15,0,1,2,0,35,1.0
5,9495,Isaías,SL Benfica,23,14,0,0,128,12,2,2,1,1,23,1.0
6,9495,Edinho,Desp. Chaves,32,14,4,0,194,13,1,1,2,0,42,1.0
7,9495,Paulo Alves,Marítimo,33,14,1,0,199,14,0,1,3,0,34,1.0
8,9495,Nelson Bertollazzi,U. Leiria,32,12,0,0,235,12,0,1,2,2,29,1.0
9,9495,Alex Bunbury,Marítimo,33,11,0,0,253,11,0,0,2,1,27,1.0
10,9495,Andrzej Juskowiak,Sporting CP,25,10,0,0,199,10,0,0,2,0,17,1.0
11,9495,Ivaylo Yordanov,Sporting CP,16,9,0,0,148,9,0,0,2,0,15,1.0
12,9495,Edílson,SL Benfica,23,9,0,0,187,8,1,1,1,0,15,1.0
13,9495,Rui Barros,FC Porto,27,9,0,0,189,8,1,0,0,0,12,1.0
14,9495,Erwin Sánchez,Boavista,31,9,0,0,272,9,0,2,1,0,23,1.0
15,9495,Gilmar,V. Guimarães,31,9,1,0,283,8,1,2,1,0,17,1.0
16,9495,Claudio Caniggia,SL Benfica,24,8,1,0,248,8,0,0,0,0,13,1.0
17,9495,Zé Carlos Nascimento,FC Porto,28,8,0,0,308,8,0,0,0,0,11,1.0
18,9495,Makopoloka Mangonga,Gil Vicente,25,7,0,0,234,4,3,0,1,0,23,1.0
19,9495,Emmanuel Amuneke,Sporting CP,21,7,0,0,248,7,0,1,2,0,12,1.0
20,9596,Domingos Paciência,FC Porto,29,25,2,0,97,25,0,0,6,1,30,2.0
21,9596,João Vieira Pinto,SL Benfica,31,18,2,0,151,18,0,0,2,0,31,2.0
22,9596,Edinho,V. Guimarães,32,15,3,0,128,13,2,0,3,0,27,2.0
23,9596,Constantino,Leça,30,15,3,0,138,13,2,1,3,0,52,2.0
24,9596,Lewis,Felgueiras,33,15,1,0,181,15,0,2,1,0,52,2.0
