,Unnamed: 0,Unnamed: 2,P,J,V,E,D,GM,GS,DG,Temporada
0,1,Benfica,41.0,26.0,18.0,5.0,3.0,62.0,17.0,45.0,70/71
1,2,Sporting,38.0,26.0,16.0,6.0,4.0,45.0,14.0,31.0,70/71
2,3,FC Porto,37.0,26.0,16.0,5.0,5.0,44.0,21.0,23.0,70/71
3,4,V. Setúbal,34.0,26.0,15.0,4.0,7.0,51.0,16.0,35.0,70/71
4,5,Académica OAF,33.0,26.0,13.0,7.0,6.0,38.0,24.0,14.0,70/71
5,6,Boavista,22.0,26.0,9.0,4.0,13.0,18.0,38.0,-20.0,70/71
6,7,Belenenses,22.0,26.0,7.0,8.0,11.0,20.0,27.0,-7.0,70/71
7,8,CUF,21.0,26.0,8.0,5.0,13.0,28.0,37.0,-9.0,70/71
8,9,Tirsense,20.0,26.0,6.0,8.0,12.0,24.0,45.0,-21.0,70/71
9,10,Barreirense,20.0,26.0,5.0,10.0,11.0,21.0,31.0,-10.0,70/71
10,11,Farense,20.0,26.0,7.0,6.0,13.0,15.0,33.0,-18.0,70/71
11,12,V. Guimarães,19.0,26.0,4.0,11.0,11.0,15.0,27.0,-12.0,70/71
12,13,Leixões,19.0,26.0,7.0,5.0,14.0,22.0,44.0,-22.0,70/71
13,14,Varzim,18.0,26.0,7.0,4.0,15.0,23.0,52.0,-29.0,70/71
14,1,Benfica,55.0,30.0,26.0,3.0,1.0,81.0,16.0,65.0,71/72
15,2,V. Setúbal,45.0,30.0,17.0,11.0,2.0,62.0,16.0,46.0,71/72
16,3,Sporting,43.0,30.0,17.0,9.0,4.0,51.0,26.0,25.0,71/72
17,4,CUF,37.0,30.0,12.0,13.0,5.0,43.0,28.0,15.0,71/72
18,5,FC Porto,33.0,30.0,13.0,7.0,10.0,51.0,32.0,19.0,71/72
19,6,V. Guimarães,30.0,30.0,11.0,8.0,11.0,49.0,47.0,2.0,71/72
20,7,Belenenses,29.0,30.0,11.0,7.0,12.0,35.0,33.0,2.0,71/72
21,8,Barreirense,27.0,30.0,11.0,5.0,14.0,34.0,46.0,-12.0,71/72
22,9,Farense,25.0,30.0,9.0,7.0,14.0,34.0,48.0,-14.0,71/72
23,10,Atlético CP,25.0,30.0,8.0,9.0,13.0,35.0,52.0,-17.0,71/72
24,11,Boavista,24.0,30.0,7.0,10.0,13.0,28.0,46.0,-18.0,71/72
25,12,U. Tomar,23.0,30.0,9.0,5.0,16.0,25.0,42.0,-17.0,71/72
26,13,Beira-Mar,23.0,30.0,7.0,9.0,14.0,29.0,51.0,-22.0,71/72
27,14,Leixões,21.0,30.0,7.0,7.0,16.0,26.0,51.0,-25.0,71/72
28,15,Académica OAF,21.0,30.0,7.0,7.0,16.0,29.0,38.0,-9.0,71/72
29,16,Tirsense,19.0,30.0,6.0,7.0,17.0,26.0,66.0,-40.0,71/72
30,1,Benfica,58.0,30.0,28.0,2.0,0.0,101.0,13.0,88.0,72/73
31,2,Belenenses,40.0,30.0,14.0,12.0,4.0,53.0,30.0,23.0,72/73
32,3,V. Setúbal,38.0,30.0,16.0,6.0,8.0,65.0,26.0,39.0,72/73
33,4,FC Porto,37.0,30.0,15.0,7.0,8.0,56.0,28.0,28.0,72/73
34,5,Sporting,37.0,30.0,15.0,7.0,8.0,57.0,31.0,26.0,72/73
35,6,V. Guimarães,33.0,30.0,11.0,11.0,8.0,38.0,38.0,0.0,72/73
36,7,Boavista,31.0,30.0,12.0,7.0,11.0,41.0,47.0,-6.0,72/73
37,8,CUF,30.0,30.0,11.0,8.0,11.0,38.0,37.0,1.0,72/73
38,9,Leixões,30.0,30.0,11.0,8.0,11.0,32.0,45.0,-13.0,72/73
39,10,Barreirense,25.0,30.0,9.0,7.0,14.0,43.0,64.0,-21.0,72/73
40,11,Farense,24.0,30.0,8.0,8.0,14.0,27.0,53.0,-26.0,72/73
41,12,Beira-Mar,23.0,30.0,5.0,13.0,12.0,27.0,57.0,-30.0,72/73
42,13,Montijo,23.0,30.0,9.0,5.0,16.0,29.0,47.0,-18.0,72/73
43,14,U. Coimbra,17.0,30.0,5.0,7.0,18.0,22.0,54.0,-32.0,72/73
44,15,Atlético CP,17.0,30.0,4.0,9.0,17.0,27.0,52.0,-25.0,72/73
45,16,U. Tomar,17.0,30.0,6.0,5.0,19.0,35.0,69.0,-34.0,72/73
46,1,Sporting,49.0,30.0,23.0,3.0,4.0,96.0,21.0,75.0,73/74
47,2,Benfica,47.0,30.0,21.0,5.0,4.0,68.0,23.0,45.0,73/74
48,3,V. Setúbal,45.0,30.0,19.0,7.0,4.0,69.0,21.0,48.0,73/74
49,4,FC Porto,43.0,30.0,18.0,7.0,5.0,43.0,22.0,21.0,73/74
50,5,Belenenses,40.0,30.0,17.0,6.0,7.0,56.0,34.0,22.0,73/74
51,6,V. Guimarães,31.0,30.0,10.0,11.0,9.0,36.0,34.0,2.0,73/74
52,7,Farense,26.0,30.0,9.0,8.0,13.0,35.0,38.0,-3.0,73/74
53,8,CUF,25.0,30.0,8.0,9.0,13.0,33.0,44.0,-11.0,73/74
54,9,Boavista,25.0,30.0,9.0,7.0,14.0,35.0,43.0,-8.0,73/74
55,10,Académica OAF,23.0,30.0,8.0,7.0,15.0,29.0,45.0,-16.0,73/74
56,11,Olhanense,22.0,30.0,8.0,6.0,16.0,35.0,69.0,-34.0,73/74
57,12,Oriental,21.0,30.0,10.0,1.0,19.0,35.0,79.0,-44.0,73/74
58,13,Beira-Mar,21.0,30.0,7.0,7.0,16.0,34.0,59.0,-25.0,73/74
59,14,Leixões,21.0,30.0,9.0,3.0,18.0,36.0,56.0,-20.0,73/74
60,15,Barreirense,21.0,30.0,6.0,9.0,15.0,19.0,42.0,-23.0,73/74
61,16,Montijo,20.0,30.0,7.0,6.0,17.0,32.0,61.0,-29.0,73/74
62,1,Benfica,49.0,30.0,21.0,7.0,2.0,62.0,12.0,50.0,74/75
63,2,FC Porto,44.0,30.0,19.0,6.0,5.0,62.0,30.0,32.0,74/75
64,3,Sporting,43.0,30.0,17.0,9.0,4.0,59.0,25.0,34.0,74/75
65,4,Boavista,38.0,30.0,16.0,6.0,8.0,58.0,32.0,26.0,74/75
66,5,V. Guimarães,38.0,30.0,16.0,6.0,8.0,64.0,36.0,28.0,74/75
67,6,Belenenses,35.0,30.0,14.0,7.0,9.0,45.0,37.0,8.0,74/75
68,7,V. Setúbal,29.0,30.0,11.0,7.0,12.0,47.0,35.0,12.0,74/75
69,8,Leixões,29.0,30.0,10.0,9.0,11.0,29.0,42.0,-13.0,74/75
70,9,CUF,29.0,30.0,10.0,9.0,11.0,40.0,40.0,0.0,74/75
71,10,Atlético CP,26.0,30.0,10.0,6.0,14.0,38.0,69.0,-31.0,74/75
72,11,Farense,25.0,30.0,11.0,3.0,16.0,38.0,52.0,-14.0,74/75
73,12,U. Tomar,23.0,30.0,9.0,5.0,16.0,39.0,59.0,-20.0,74/75
74,13,Oriental,20.0,30.0,5.0,10.0,15.0,21.0,51.0,-30.0,74/75
75,14,Académica OAF,20.0,30.0,7.0,6.0,17.0,33.0,47.0,-14.0,74/75
76,15,Olhanense,17.0,30.0,6.0,5.0,19.0,41.0,70.0,-29.0,74/75
77,16,SC Espinho,15.0,30.0,4.0,7.0,19.0,25.0,64.0,-39.0,74/75
78,1,Benfica,50.0,30.0,23.0,4.0,3.0,94.0,20.0,74.0,75/76
79,2,Boavista,48.0,30.0,21.0,6.0,3.0,65.0,23.0,42.0,75/76
80,3,Belenenses,40.0,30.0,16.0,8.0,6.0,45.0,28.0,17.0,75/76
81,4,FC Porto,39.0,30.0,16.0,7.0,7.0,73.0,33.0,40.0,75/76
82,5,Sporting,38.0,30.0,16.0,6.0,8.0,54.0,31.0,23.0,75/76
83,6,V. Guimarães,36.0,30.0,13.0,10.0,7.0,49.0,32.0,17.0,75/76
84,7,SC Braga,28.0,30.0,9.0,10.0,11.0,35.0,43.0,-8.0,75/76
85,8,Estoril Praia,28.0,30.0,10.0,8.0,12.0,31.0,45.0,-14.0,75/76
86,9,V. Setúbal,26.0,30.0,8.0,10.0,12.0,39.0,42.0,-3.0,75/76
87,10,Académica OAF,23.0,30.0,7.0,9.0,14.0,32.0,47.0,-15.0,75/76
88,11,Atlético CP,23.0,30.0,9.0,5.0,16.0,26.0,49.0,-23.0,75/76
89,12,Leixões,22.0,30.0,8.0,6.0,16.0,30.0,65.0,-35.0,75/76
90,13,Beira-Mar,21.0,30.0,6.0,9.0,15.0,28.0,47.0,-19.0,75/76
91,14,U. Tomar,21.0,30.0,7.0,7.0,16.0,32.0,61.0,-29.0,75/76
92,15,Farense,19.0,30.0,8.0,3.0,19.0,33.0,65.0,-32.0,75/76
93,16,CUF,18.0,30.0,4.0,10.0,16.0,15.0,50.0,-35.0,75/76
94,1,Benfica,51.0,30.0,23.0,5.0,2.0,67.0,24.0,43.0,76/77
95,2,Sporting,42.0,30.0,17.0,8.0,5.0,59.0,26.0,33.0,76/77
96,3,FC Porto,41.0,30.0,18.0,5.0,7.0,72.0,27.0,45.0,76/77
97,4,Boavista,34.0,30.0,13.0,8.0,9.0,41.0,33.0,8.0,76/77
98,5,Académica OAF,34.0,30.0,14.0,6.0,10.0,29.0,25.0,4.0,76/77
99,6,V. Setúbal,32.0,30.0,13.0,6.0,11.0,47.0,46.0,1.0,76/77
100,7,Varzim,31.0,30.0,10.0,11.0,9.0,36.0,36.0,0.0,76/77
101,8,SC Braga,29.0,30.0,10.0,9.0,11.0,36.0,36.0,0.0,76/77
102,9,V. Guimarães,26.0,30.0,10.0,6.0,14.0,39.0,38.0,1.0,76/77
103,10,Belenenses,26.0,30.0,7.0,12.0,11.0,29.0,40.0,-11.0,76/77
104,11,Estoril Praia,25.0,30.0,6.0,13.0,11.0,26.0,36.0,-10.0,76/77
105,12,Portimonense,25.0,30.0,8.0,9.0,13.0,34.0,46.0,-12.0,76/77
106,13,Leixões,23.0,30.0,4.0,15.0,11.0,15.0,31.0,-16.0,76/77
107,14,Montijo,23.0,30.0,7.0,9.0,14.0,30.0,47.0,-17.0,76/77
108,15,Beira-Mar,23.0,30.0,7.0,9.0,14.0,33.0,57.0,-24.0,76/77
109,16,Atlético CP,15.0,30.0,3.0,9.0,18.0,23.0,68.0,-45.0,76/77
110,1,FC Porto,51.0,30.0,22.0,7.0,1.0,81.0,21.0,60.0,77/78
111,2,Benfica,51.0,30.0,21.0,9.0,0.0,56.0,11.0,45.0,77/78
112,3,Sporting,42.0,30.0,19.0,4.0,7.0,63.0,30.0,33.0,77/78
113,4,SC Braga,38.0,30.0,16.0,6.0,8.0,42.0,27.0,15.0,77/78
114,5,Belenenses,36.0,30.0,14.0,8.0,8.0,25.0,21.0,4.0,77/78
115,6,V. Guimarães,31.0,30.0,12.0,7.0,11.0,33.0,28.0,5.0,77/78
116,7,Boavista,28.0,30.0,10.0,8.0,12.0,36.0,38.0,-2.0,77/78
117,8,Académica OAF,26.0,30.0,11.0,4.0,15.0,41.0,49.0,-8.0,77/78
118,9,V. Setúbal,26.0,30.0,8.0,10.0,12.0,29.0,40.0,-11.0,77/78
119,10,Varzim,25.0,30.0,9.0,7.0,14.0,26.0,38.0,-12.0,77/78
120,11,Estoril Praia,25.0,30.0,8.0,9.0,13.0,25.0,36.0,-11.0,77/78
121,12,Marítimo,23.0,30.0,8.0,7.0,15.0,22.0,45.0,-23.0,77/78
122,13,Portimonense,23.0,30.0,8.0,7.0,15.0,29.0,39.0,-10.0,77/78
123,14,SC Espinho,22.0,30.0,8.0,6.0,16.0,30.0,52.0,-22.0,77/78
124,15,Riopele,21.0,30.0,6.0,9.0,15.0,23.0,51.0,-28.0,77/78
125,16,Feirense,12.0,30.0,5.0,2.0,23.0,24.0,59.0,-35.0,77/78
126,1,FC Porto,50.0,30.0,21.0,8.0,1.0,70.0,19.0,51.0,78/79
127,2,Benfica,49.0,30.0,23.0,3.0,4.0,75.0,21.0,54.0,78/79
128,3,Sporting,42.0,30.0,17.0,8.0,5.0,46.0,22.0,24.0,78/79
