Unnamed: 0,Team,Points,G/J,GS/J,A/J,V/J,MediaPasses,MediaPassesCertos,MediaPosseBola,PontBaliza/J,Lanca/J,RematDef/J,Remates/J,Cantos/J,TackleWon/J,Alivios/J,RematesFora/J,Defesa/J,RemateBaliza/J,ForaJogo/J
0,Sporting CP,73,1.8,0.5,2.5,0.1,474.6,384.9,58.1,5.6,24.6,3.1,13.9,3.1,9.0,12.9,6.1,1.7,4.7,1.4
1,FC Porto,67,2.0,0.9,1.7,0.1,498.0,410.5,60.6,5.6,25.6,3.3,14.3,3.3,8.8,12.5,5.5,1.8,5.6,2.1
2,SL Benfica,63,1.9,0.7,2.2,0.1,578.0,490.4,63.8,5.7,26.1,3.1,14.1,3.1,9.0,11.4,6.1,2.5,5.0,2.4
3,SC Braga,58,1.6,1.0,1.9,0.2,505.9,413.6,56.4,6.6,23.1,2.7,14.4,2.7,9.1,13.7,6.8,2.1,5.0,2.3
4,Paços de Ferreira,45,1.2,1.2,2.0,0.1,373.4,287.8,45.9,8.0,20.7,2.3,10.5,2.3,10.8,17.8,4.5,2.3,3.7,2.1
5,V. Guimarães,38,1.1,1.2,2.2,0.1,408.3,325.9,48.6,8.2,22.4,2.2,10.3,2.2,9.0,18.3,4.8,2.9,3.4,2.0
6,Santa Clara,36,1.2,1.2,2.8,0.1,370.0,284.8,48.3,8.1,21.6,2.6,11.1,2.6,9.8,18.5,4.8,2.2,3.7,1.8
7,Moreirense,36,1.0,1.3,2.4,0.0,386.9,298.8,47.6,9.7,23.1,2.6,9.6,2.6,9.6,15.7,4.0,3.4,3.1,1.6
8,Tondela,35,1.1,1.6,2.3,0.2,391.5,298.6,46.2,8.6,22.2,2.0,9.3,2.0,9.8,18.9,4.0,3.2,3.4,1.5
9,Belenenses,34,0.7,0.9,2.7,0.2,367.9,270.9,45.6,8.1,23.9,2.0,9.5,2.0,10.1,20.5,4.3,3.6,3.1,2.9
10,Portimonense,33,1.1,1.2,2.5,0.0,405.4,307.7,51.3,9.2,24.9,2.8,11.3,2.8,9.5,20.1,4.9,2.7,3.6,2.2
11,Marítimo,33,0.8,1.3,3.0,0.1,331.3,245.9,43.3,8.8,24.6,2.0,10.6,2.0,10.4,19.6,5.2,3.1,3.4,2.1
12,Famalicão,31,1.1,1.5,2.8,0.1,419.7,336.4,50.9,7.7,21.7,2.7,11.1,2.7,9.2,18.1,4.7,2.7,3.7,1.7
13,Gil Vicente,31,0.9,1.3,2.1,0.1,400.4,308.5,48.1,8.3,23.6,2.3,10.2,2.3,8.3,17.8,4.6,2.6,3.3,1.6
14,Rio Ave,30,0.8,1.1,2.0,0.2,447.0,363.3,52.1,7.4,22.9,2.7,10.0,2.7,9.2,16.0,4.1,2.6,3.2,2.2
15,Boavista,28,1.2,1.5,2.5,0.3,337.3,256.6,42.8,9.6,21.1,2.9,10.9,2.9,9.7,21.0,4.0,3.1,4.0,1.4
16,Farense,26,0.9,1.2,2.3,0.2,309.1,217.8,43.4,8.5,25.6,2.5,10.9,2.5,8.4,17.3,5.1,2.6,3.4,2.3
17,Nacional,24,0.9,1.6,3.0,0.2,367.1,278.5,47.9,8.9,20.4,2.7,10.7,2.7,8.9,20.5,4.5,2.9,3.6,1.9
