,Season,Jogador,J,G,ASS,INF,PINF
0,0405,Jorginho [V. Setúbal],32.0,9.0,9.0,18.0,39.0
1,0405,Hugo Viana [Sporting],32.0,6.0,8.0,14.0,21.0
2,0405,Simão Sabrosa [Benfica],34.0,15.0,8.0,23.0,45.0
3,0405,Ricardo Nascimento [Rio Ave],19.0,3.0,7.0,10.0,29.0
4,0405,Juninho Petrolina [Belenenses],24.0,1.0,7.0,8.0,21.0
5,0405,Wender [SC Braga],33.0,9.0,7.0,16.0,36.0
6,0405,Fábio Rochemback [Sporting],23.0,1.0,6.0,7.0,11.0
7,0405,Luciano Fonseca [Académica OAF],31.0,6.0,6.0,12.0,41.0
8,0405,Nandinho [Gil Vicente],30.0,7.0,6.0,13.0,38.0
9,0405,Clayton [FC Penafiel],29.0,5.0,6.0,11.0,28.0
10,0405,Petit [Benfica],29.0,2.0,6.0,8.0,16.0
11,0405,Manuel José [V. Setúbal],31.0,3.0,5.0,8.0,17.0
12,0405,Alan [Marítimo],30.0,3.0,5.0,8.0,21.0
13,0405,Liedson [Sporting],31.0,25.0,5.0,30.0,45.0
14,0405,Carlos Martins [Sporting],22.0,5.0,4.0,9.0,14.0
15,0405,Wendel [Nacional],15.0,4.0,4.0,8.0,17.0
16,0405,Pedro Barbosa [Sporting],30.0,0.0,4.0,4.0,6.0
17,0405,Neca [Belenenses],27.0,1.0,4.0,5.0,13.0
18,0405,Azar Karadas [Benfica],27.0,4.0,4.0,8.0,16.0
19,0405,Silva [V. Guimarães],23.0,7.0,4.0,11.0,29.0
0,0506,Fajardo [Naval],32.0,4.0,10.0,14.0,40.0
1,0506,Ricardo Quaresma [FC Porto],29.0,5.0,9.0,14.0,26.0
2,0506,José Pedro [Belenenses],25.0,4.0,7.0,11.0,28.0
3,0506,Filipe Teixeira [Académica OAF],30.0,3.0,7.0,10.0,27.0
4,0506,Zé Manuel [Boavista],26.0,3.0,6.0,9.0,24.0
5,0506,Petit [Benfica],30.0,3.0,6.0,9.0,18.0
6,0506,Manuel José [Boavista],33.0,3.0,6.0,9.0,24.0
7,0506,Miguelito [Nacional],34.0,1.0,6.0,7.0,18.0
8,0506,Jorginho [FC Porto],28.0,4.0,5.0,9.0,17.0
9,0506,"Ousmane N’Doye [FC Penafiel, Académica OAF]",25.0,3.0,5.0,8.0,29.0
10,0506,Edson [Paços de Ferreira],29.0,3.0,5.0,8.0,21.0
11,0506,Nélson [Benfica],25.0,0.0,5.0,5.0,10.0
12,0506,Carlitos [Gil Vicente],32.0,5.0,5.0,10.0,27.0
13,0506,Nandinho [Gil Vicente],31.0,5.0,5.0,10.0,27.0
14,0506,Pedrinha [Paços de Ferreira],32.0,1.0,5.0,6.0,16.0
15,0506,Patacas [Nacional],31.0,0.0,5.0,5.0,13.0
16,0506,Mateus [Gil Vicente],4.0,2.0,4.0,6.0,16.0
17,0506,Hugo Leal [SC Braga],12.0,0.0,4.0,4.0,11.0
18,0506,Diogo Valente [Boavista],23.0,2.0,4.0,6.0,16.0
19,0506,"Jaime Júnior [SC Braga, UD Leiria]",26.0,0.0,4.0,4.0,8.0
