,Season,Equipa,J,A,2A,VE
0,9495,União Madeira,34.0,108.0,6.0,5.0
1,9495,UD Leiria,34.0,100.0,4.0,5.0
2,9495,Benfica,34.0,96.0,5.0,4.0
3,9495,Beira-Mar,34.0,95.0,7.0,3.0
4,9495,Boavista,34.0,93.0,6.0,3.0
5,9495,Farense,34.0,92.0,6.0,0.0
6,9495,Belenenses,34.0,92.0,6.0,1.0
7,9495,GD Chaves,34.0,91.0,5.0,2.0
8,9495,SC Salgueiros,34.0,90.0,11.0,1.0
9,9495,Tirsense,34.0,87.0,6.0,3.0
10,9495,V. Guimarães,34.0,85.0,8.0,3.0
11,9495,Est. Amadora,34.0,84.0,4.0,1.0
12,9495,Gil Vicente,34.0,80.0,2.0,3.0
13,9495,FC Porto,34.0,77.0,3.0,4.0
14,9495,V. Setúbal,34.0,77.0,4.0,3.0
15,9495,Sporting,34.0,74.0,1.0,2.0
16,9495,SC Braga,34.0,67.0,1.0,4.0
17,9495,Marítimo,34.0,63.0,4.0,1.0
0,9596,Leça FC,34.0,116.0,12.0,8.0
1,9596,Campomaiorense,34.0,104.0,11.0,2.0
2,9596,Gil Vicente,34.0,101.0,6.0,1.0
3,9596,SC Braga,34.0,100.0,4.0,4.0
4,9596,Tirsense,34.0,100.0,2.0,2.0
5,9596,Est. Amadora,34.0,99.0,5.0,0.0
6,9596,Benfica,34.0,97.0,5.0,1.0
7,9596,UD Leiria,34.0,96.0,6.0,3.0
8,9596,GD Chaves,34.0,90.0,3.0,2.0
9,9596,FC Felgueiras,34.0,87.0,4.0,2.0
10,9596,Farense,34.0,86.0,6.0,3.0
11,9596,Boavista,34.0,86.0,5.0,0.0
12,9596,SC Salgueiros,34.0,80.0,5.0,1.0
13,9596,Sporting,34.0,78.0,3.0,6.0
14,9596,Belenenses,34.0,78.0,8.0,0.0
15,9596,V. Guimarães,34.0,74.0,4.0,1.0
16,9596,FC Porto,34.0,72.0,1.0,3.0
17,9596,Marítimo,34.0,69.0,3.0,2.0
0,9697,SC Braga,34.0,123.0,8.0,5.0
1,9697,UD Leiria,34.0,121.0,11.0,6.0
2,9697,Farense,34.0,118.0,6.0,3.0
3,9697,SC Espinho,34.0,117.0,6.0,3.0
4,9697,Rio Ave,34.0,105.0,8.0,1.0
5,9697,V. Guimarães,34.0,104.0,7.0,3.0
6,9697,Est. Amadora,34.0,103.0,6.0,0.0
7,9697,Marítimo,34.0,103.0,4.0,5.0
8,9697,Belenenses,34.0,102.0,5.0,1.0
9,9697,SC Salgueiros,34.0,101.0,5.0,2.0
10,9697,Boavista,34.0,100.0,6.0,6.0
11,9697,V. Setúbal,34.0,100.0,3.0,2.0
12,9697,Gil Vicente,34.0,98.0,8.0,4.0
13,9697,GD Chaves,34.0,96.0,8.0,0.0
14,9697,Sporting,34.0,94.0,3.0,1.0
15,9697,Benfica,34.0,91.0,9.0,1.0
16,9697,FC Porto,34.0,91.0,5.0,2.0
17,9697,Leça FC,34.0,78.0,0.0,4.0
0,9798,Belenenses,34.0,120.0,8.0,4.0
1,9798,SC Braga,34.0,119.0,10.0,2.0
