,Season,Jogador,J,A,2A,VE
0,1112,Ney [V. Setúbal],23.0,12.0,1.0,0.0
1,1112,Elias [Sporting],25.0,12.0,1.0,0.0
2,1112,Diogo Cunha [Feirense],27.0,11.0,0.0,0.0
3,1112,Joãozinho [Beira-Mar],26.0,11.0,2.0,0.0
4,1112,Maurício Fernandes [Olhanense],27.0,11.0,1.0,0.0
5,1112,Maxi Pereira [Benfica],25.0,11.0,0.0,0.0
6,1112,Luisinho [Paços de Ferreira],28.0,11.0,1.0,0.0
7,1112,Abdoulaye Ba [Académica OAF],21.0,10.0,0.0,4.0
8,1112,Luís Neto [Nacional],25.0,10.0,0.0,0.0
9,1112,André Leão [Paços de Ferreira],27.0,10.0,0.0,0.0
10,1112,Miguelito [V. Setúbal],27.0,10.0,1.0,0.0
11,1112,Ricardo Silva [V. Setúbal],27.0,10.0,1.0,1.0
12,1112,Rafael Miranda [Marítimo],28.0,10.0,1.0,0.0
13,1112,Sténio Santos [Feirense],22.0,9.0,0.0,0.0
14,1112,Javi García [Benfica],22.0,9.0,0.0,0.0
15,1112,Edson Henrique [UD Leiria],20.0,9.0,1.0,0.0
16,1112,André Pinto [Olhanense],21.0,9.0,1.0,0.0
17,1112,Bruno Amaro [V. Setúbal],23.0,9.0,0.0,0.0
18,1112,Stijn Schaars [Sporting],26.0,9.0,1.0,0.0
19,1112,Álvaro Pereira [FC Porto],23.0,9.0,0.0,0.0
0,1213,Wíres [Rio Ave],28.0,13.0,1.0,0.0
1,1213,Marcos Rojo [Sporting],24.0,12.0,2.0,0.0
2,1213,Valentin Roberge [Marítimo],27.0,12.0,1.0,0.0
3,1213,Filipe Augusto [Rio Ave],26.0,11.0,1.0,0.0
4,1213,Filipe Gonçalves [Moreirense],27.0,11.0,0.0,0.0
5,1213,Manuel da Costa [Nacional],16.0,10.0,2.0,0.0
6,1213,Paulo Tavares [V. Setúbal],26.0,10.0,1.0,0.0
7,1213,Luiz Carlos [Paços de Ferreira],27.0,10.0,2.0,0.0
8,1213,Marçal [Nacional],27.0,10.0,2.0,0.0
9,1213,Márcio Rozário [Marítimo],20.0,9.0,1.0,0.0
10,1213,Reiner [Académica OAF],21.0,9.0,0.0,0.0
11,1213,Fernando [FC Porto],24.0,9.0,0.0,0.0
12,1213,Pedro Santos [V. Setúbal],28.0,9.0,1.0,0.0
13,1213,Jander [Olhanense],24.0,9.0,0.0,0.0
14,1213,Fito Rinaudo [Sporting],23.0,9.0,0.0,0.0
15,1213,Cláudio [Gil Vicente],24.0,9.0,2.0,0.0
16,1213,Moreno [Nacional],27.0,9.0,1.0,1.0
17,1213,Steven Vitória [Estoril Praia],27.0,9.0,2.0,1.0
18,1213,Custódio [SC Braga],28.0,9.0,0.0,0.0
19,1213,Marcelo [Rio Ave],28.0,9.0,0.0,0.0
0,1314,Nuno Coelho [FC Arouca],26.0,13.0,2.0,0.0
1,1314,Alex Sandro [FC Porto],26.0,13.0,0.0,0.0
2,1314,Marcelo [Rio Ave],24.0,12.0,1.0,0.0
3,1314,Luís Martins [Gil Vicente],23.0,11.0,0.0,1.0
4,1314,André André [V. Guimarães],26.0,11.0,0.0,0.0
5,1314,Luís Tinoco [FC Arouca],25.0,11.0,1.0,0.0
6,1314,Tarantini [Rio Ave],26.0,11.0,1.0,0.0
7,1314,Danielson [Gil Vicente],26.0,11.0,1.0,0.0
8,1314,Marçal [Nacional],27.0,11.0,1.0,0.0
9,1314,Zainadine Júnior [Nacional],20.0,10.0,0.0,0.0
10,1314,Márcio Rozário [Marítimo],21.0,10.0,1.0,0.0
11,1314,Diego Lopes [Rio Ave],27.0,10.0,0.0,0.0
12,1314,Aly Ghazal [Nacional],26.0,10.0,0.0,1.0
13,1314,Marcelo Goiano [Académica OAF],25.0,10.0,1.0,0.0
14,1314,João Meira [Belenenses],27.0,10.0,2.0,0.0
15,1314,Filipe Ferreira [Belenenses],28.0,10.0,0.0,0.0
16,1314,Cédric Soares [Sporting],28.0,10.0,0.0,0.0
17,1314,Nuno Lopes [Rio Ave],13.0,9.0,2.0,0.0
18,1314,Filipe Gonçalves [Estoril Praia],24.0,9.0,1.0,0.0
19,1314,Jean Barrientos [V. Guimarães],26.0,9.0,0.0,0.0
0,1415,Casemiro [FC Porto],28.0,13.0,0.0,0.0
1,1415,Adrien Silva [Sporting],30.0,13.0,1.0,0.0
2,1415,Nani [Sporting],27.0,13.0,1.0,0.0
3,1415,Rúben Ferreira [Marítimo],28.0,13.0,0.0,0.0
4,1415,Saleh Gomaa [Nacional],23.0,12.0,2.0,0.0
5,1415,Bruno Gaspar [V. Guimarães],24.0,12.0,1.0,0.0
6,1415,Andreas Samaris [Benfica],28.0,12.0,0.0,0.0
7,1415,Bernard Mensah [V. Guimarães],30.0,12.0,1.0,0.0
8,1415,Yohan Tavares [Estoril Praia],30.0,12.0,0.0,1.0
9,1415,Pedro Ribeiro [FC Penafiel],26.0,11.0,1.0,0.0
10,1415,Marcelo Oliveira [Moreirense],27.0,11.0,1.0,0.0
11,1415,William Carvalho [Sporting],30.0,11.0,1.0,0.0
12,1415,Dani Soares [V. Setúbal],29.0,11.0,0.0,0.0
13,1415,David Simão [FC Arouca],32.0,11.0,1.0,0.0
14,1415,André André [V. Guimarães],31.0,11.0,0.0,0.0
15,1415,Maxi Pereira [Benfica],32.0,11.0,0.0,0.0
16,1415,"Rúben Ribeiro [Gil Vicente, Paços de Ferreira]",22.0,10.0,1.0,0.0
17,1415,Philipe Sampaio [Boavista],23.0,10.0,3.0,0.0
18,1415,Sérgio Oliveira [Paços de Ferreira],26.0,10.0,1.0,0.0
19,1415,Alhassan Wakaso [Rio Ave],29.0,10.0,0.0,0.0
0,1516,Lucas Souza [CD Tondela],26.0,14.0,1.0,0.0
1,1516,Alhassan Wakaso [Rio Ave],30.0,14.0,0.0,0.0
2,1516,Pelé [Paços de Ferreira],29.0,13.0,0.0,0.0
3,1516,Idris Mandiang [Boavista],30.0,13.0,2.0,0.0
4,1516,Amilton Silva [União Madeira],31.0,13.0,0.0,0.0
5,1516,Adilson Goiano [FC Arouca],27.0,12.0,0.0,0.0
6,1516,Adrien Silva [Sporting],29.0,12.0,0.0,1.0
7,1516,Fernando Alexandre [Académica OAF],27.0,12.0,1.0,0.0
8,1516,Marcelo Oliveira [Moreirense],29.0,12.0,0.0,0.0
9,1516,Diego Carlos [Estoril Praia],31.0,12.0,3.0,0.0
10,1516,Gian Martins [União Madeira],25.0,11.0,0.0,0.0
11,1516,João Costinha [V. Setúbal],28.0,11.0,1.0,0.0
12,1516,William Alves [V. Setúbal],29.0,11.0,0.0,0.0
13,1516,Fábio Pacheco [V. Setúbal],29.0,11.0,1.0,1.0
14,1516,Fransérgio [Marítimo],31.0,11.0,1.0,0.0
15,1516,David Simão [FC Arouca],18.0,10.0,0.0,0.0
16,1516,Nikola Vukčević [SC Braga],18.0,10.0,1.0,0.0
17,1516,Filipe Gonçalves [Moreirense],26.0,10.0,0.0,0.0
18,1516,"Marvin Zeegelaar [Sporting, Rio Ave]",23.0,10.0,0.0,0.0
19,1516,Henrique Dourado [V. Guimarães],28.0,10.0,1.0,0.0
0,1617,Vítor Bruno [Feirense],30.0,14.0,0.0,0.0
1,1617,Fábio Martins [GD Chaves],29.0,12.0,1.0,0.0
2,1617,Tiago Silva [Feirense],27.0,11.0,1.0,0.0
3,1617,Bruno Santos [Paços de Ferreira],29.0,11.0,1.0,0.0
4,1617,Pierre Sagna [Moreirense],30.0,11.0,1.0,0.0
5,1617,Ricardo Dias [Feirense],17.0,10.0,2.0,0.0
6,1617,Ailton Silva [Estoril Praia],18.0,10.0,0.0,0.0
7,1617,Tobias Figueiredo [Nacional],22.0,10.0,3.0,0.0
8,1617,"Paulinho [GD Chaves, SC Braga]",22.0,10.0,0.0,0.0
9,1617,Vítor Gomes [Belenenses],28.0,10.0,0.0,0.0
10,1617,Vasco Fernandes [V. Setúbal],31.0,10.0,0.0,0.0
11,1617,Nuno Pinto [V. Setúbal],31.0,10.0,0.0,0.0
12,1617,Marcelo [Rio Ave],31.0,10.0,0.0,1.0
13,1617,João Costinha [V. Setúbal],32.0,10.0,0.0,0.0
14,1617,Walter González [FC Arouca],33.0,9.0,0.0,0.0
15,1617,Ousmane Dramé [Moreirense],24.0,9.0,0.0,0.0
16,1617,Éber Bessa [Marítimo],27.0,9.0,0.0,0.0
17,1617,Lazar Rosic [SC Braga],23.0,9.0,1.0,0.0
18,1617,Nikola Vukcevic [SC Braga],25.0,9.0,0.0,1.0
19,1617,Cris Santos [Feirense],28.0,9.0,1.0,0.0
0,1718,Babanco [Feirense],29.0,14.0,0.0,0.0
1,1718,Tiago Silva [Feirense],29.0,14.0,1.0,0.0
2,1718,Hassan Yebda [Belenenses],25.0,13.0,3.0,0.0
3,1718,Ângelo Neto [Moreirense],29.0,12.0,0.0,0.0
4,1718,Pedro Sá [Portimonense],28.0,12.0,0.0,0.0
5,1718,Raphael Rossi [Boavista],30.0,11.0,0.0,0.0
6,1718,Stéphane Sparagna [Boavista],22.0,10.0,0.0,0.0
7,1718,Allano [Estoril Praia],29.0,10.0,1.0,0.0
8,1718,Raul Silva [SC Braga],25.0,10.0,1.0,0.0
9,1718,Nikola Vukcevic [SC Braga],31.0,10.0,0.0,0.0
10,1718,Marcelo [Rio Ave],30.0,10.0,0.0,1.0
11,1718,Tomané [CD Tondela],32.0,10.0,0.0,0.0
12,1718,Tarantini [Rio Ave],31.0,10.0,0.0,0.0
13,1718,João Góis [Paços de Ferreira],17.0,9.0,0.0,1.0
14,1718,Nélson Lenho [CD Aves],22.0,9.0,0.0,0.0
15,1718,Bruno Santos [Paços de Ferreira],23.0,9.0,1.0,0.0
16,1718,André Sousa [Belenenses],30.0,9.0,0.0,0.0
17,1718,Matheus Pereira [GD Chaves],27.0,9.0,0.0,0.0
18,1718,David Simão [Boavista],27.0,9.0,0.0,0.0
19,1718,Miguel Cardoso [CD Tondela],32.0,9.0,0.0,0.0
0,1819,Vítor Bruno [Feirense],28.0,15.0,0.0,0.0
1,1819,Fábio Coentrão [Rio Ave],21.0,13.0,2.0,0.0
2,1819,Nemanja Gudelj [Sporting],27.0,13.0,0.0,0.0
3,1819,Júlio César [Nacional],28.0,13.0,0.0,0.0
4,1819,Alhassan Wakaso [V. Guimarães],30.0,12.0,1.0,0.0
5,1819,Éber Bessa [V. Setúbal],31.0,11.0,1.0,0.0
6,1819,Tiago Silva [Feirense],29.0,11.0,0.0,0.0
7,1819,Sebastián Coates [Sporting],31.0,11.0,1.0,0.0
8,1819,João Jaquité [CD Tondela],14.0,10.0,2.0,0.0
9,1819,Marcelo Goiano [SC Braga],29.0,10.0,0.0,0.0
10,1819,José Semedo [V. Setúbal],30.0,10.0,0.0,1.0
11,1819,Marcos Acuña [Sporting],30.0,10.0,1.0,0.0
12,1819,Felipe [FC Porto],31.0,10.0,0.0,0.0
13,1819,Rúben Dias [Benfica],32.0,10.0,0.0,0.0
14,1819,Jefferson Santos [GD Chaves],20.0,9.0,1.0,0.0
15,1819,Fransérgio [SC Braga],26.0,9.0,0.0,0.0
16,1819,Derley [CD Aves],30.0,9.0,0.0,0.0
17,1819,Zainadine Júnior [Marítimo],31.0,9.0,0.0,0.0
18,1819,Neris [Boavista],32.0,9.0,1.0,0.0
19,1819,Bruno Fernandes [Sporting],33.0,9.0,0.0,0.0
0,1920,José Semedo [V. Setúbal],29.0,14.0,2.0,0.0
