,Season,Round,HomeTeam,AwayTeam
0,1994-1995,1,Farense,Sporting
1,1994-1995,1,Gil Vicente,Tirsense
2,1994-1995,1,Desp. Chaves,Salgueiros
3,1994-1995,1,FC Porto,Sp. Braga
4,1994-1995,1,Marítimo,V. Setúbal
5,1994-1995,1,Belenenses,E. Amadora
6,1994-1995,1,V. Guimarães,Boavista
7,1994-1995,1,U. Leiria,U. Madeira
8,1994-1995,1,Benfica,Beira-Mar
9,1994-1995,2,Sporting,Belenenses
10,1994-1995,2,U. Madeira,Benfica
11,1994-1995,2,Beira-Mar,FC Porto
12,1994-1995,2,V. Setúbal,U. Leiria
13,1994-1995,2,E. Amadora,Marítimo
14,1994-1995,2,Boavista,Farense
15,1994-1995,2,Tirsense,Desp. Chaves
16,1994-1995,2,Sp. Braga,Gil Vicente
17,1994-1995,2,Salgueiros,V. Guimarães
18,1994-1995,3,Marítimo,U. Leiria
19,1994-1995,3,Belenenses,Boavista
20,1994-1995,3,Benfica,V. Setúbal
21,1994-1995,3,E. Amadora,Sporting
22,1994-1995,3,Gil Vicente,Beira-Mar
23,1994-1995,3,Desp. Chaves,Sp. Braga
24,1994-1995,3,FC Porto,U. Madeira
25,1994-1995,3,Farense,Salgueiros
26,1994-1995,3,V. Guimarães,Tirsense
27,1994-1995,4,Sporting,Marítimo
28,1994-1995,4,U. Madeira,Gil Vicente
29,1994-1995,4,V. Setúbal,FC Porto
30,1994-1995,4,Salgueiros,Belenenses
31,1994-1995,4,Boavista,E. Amadora
32,1994-1995,4,U. Leiria,Benfica
33,1994-1995,4,Tirsense,Farense
34,1994-1995,4,Beira-Mar,Desp. Chaves
35,1994-1995,4,Sp. Braga,V. Guimarães
36,1994-1995,5,Sporting,Boavista
37,1994-1995,5,V. Guimarães,Beira-Mar
38,1994-1995,5,Desp. Chaves,U. Madeira
39,1994-1995,5,Belenenses,Tirsense
40,1994-1995,5,E. Amadora,Salgueiros
41,1994-1995,5,FC Porto,U. Leiria
42,1994-1995,5,Farense,Sp. Braga
43,1994-1995,5,Gil Vicente,V. Setúbal
44,1994-1995,5,Marítimo,Benfica
45,1994-1995,6,Tirsense,E. Amadora
46,1994-1995,6,Sp. Braga,Belenenses
47,1994-1995,6,U. Madeira,V. Guimarães
48,1994-1995,6,Boavista,Marítimo
49,1994-1995,6,Salgueiros,Sporting
50,1994-1995,6,U. Leiria,Gil Vicente
51,1994-1995,6,Beira-Mar,Farense
52,1994-1995,6,V. Setúbal,Desp. Chaves
53,1994-1995,6,Benfica,FC Porto
54,1994-1995,7,Marítimo,FC Porto
55,1994-1995,7,Gil Vicente,Benfica
56,1994-1995,7,Boavista,Salgueiros
57,1994-1995,7,Desp. Chaves,U. Leiria
58,1994-1995,7,E. Amadora,Sp. Braga
59,1994-1995,7,V. Guimarães,V. Setúbal
60,1994-1995,7,Belenenses,Beira-Mar
61,1994-1995,7,Farense,U. Madeira
62,1994-1995,7,Sporting,Tirsense
63,1994-1995,8,Sp. Braga,Sporting
64,1994-1995,8,U. Leiria,V. Guimarães
65,1994-1995,8,U. Madeira,Belenenses
66,1994-1995,8,Benfica,Desp. Chaves
67,1994-1995,8,V. Setúbal,Farense
68,1994-1995,8,Salgueiros,Marítimo
69,1994-1995,8,Beira-Mar,E. Amadora
70,1994-1995,8,Tirsense,Boavista
71,1994-1995,8,FC Porto,Gil Vicente
72,1994-1995,9,Marítimo,Gil Vicente
73,1994-1995,9,Boavista,Sp. Braga
74,1994-1995,9,Belenenses,V. Setúbal
75,1994-1995,9,E. Amadora,U. Madeira
76,1994-1995,9,Salgueiros,Tirsense
77,1994-1995,9,Desp. Chaves,FC Porto
78,1994-1995,9,V. Guimarães,Benfica
79,1994-1995,9,Farense,U. Leiria
80,1994-1995,9,Sporting,Beira-Mar
81,1994-1995,10,U. Madeira,Sporting
82,1994-1995,10,Gil Vicente,Desp. Chaves
83,1994-1995,10,Beira-Mar,Boavista
84,1994-1995,10,V. Setúbal,E. Amadora
85,1994-1995,10,Sp. Braga,Salgueiros
86,1994-1995,10,Tirsense,Marítimo
87,1994-1995,10,Benfica,Farense
88,1994-1995,10,FC Porto,V. Guimarães
89,1994-1995,10,U. Leiria,Belenenses
90,1994-1995,11,Belenenses,Benfica
91,1994-1995,11,Boavista,U. Madeira
92,1994-1995,11,Salgueiros,Beira-Mar
93,1994-1995,11,E. Amadora,U. Leiria
94,1994-1995,11,Tirsense,Sp. Braga
95,1994-1995,11,Marítimo,Desp. Chaves
96,1994-1995,11,V. Guimarães,Gil Vicente
97,1994-1995,11,Sporting,V. Setúbal
98,1994-1995,11,Farense,FC Porto
99,1994-1995,12,FC Porto,Belenenses
100,1994-1995,12,U. Leiria,Sporting
101,1994-1995,12,U. Madeira,Salgueiros
102,1994-1995,12,V. Setúbal,Boavista
103,1994-1995,12,Desp. Chaves,V. Guimarães
104,1994-1995,12,Beira-Mar,Tirsense
105,1994-1995,12,Sp. Braga,Marítimo
106,1994-1995,12,Benfica,E. Amadora
107,1994-1995,12,Gil Vicente,Farense
108,1994-1995,13,E. Amadora,FC Porto
109,1994-1995,13,Salgueiros,V. Setúbal
110,1994-1995,13,Belenenses,Gil Vicente
111,1994-1995,13,Boavista,U. Leiria
112,1994-1995,13,Sp. Braga,Beira-Mar
113,1994-1995,13,Farense,Desp. Chaves
114,1994-1995,13,Sporting,Benfica
115,1994-1995,13,Marítimo,V. Guimarães
116,1994-1995,13,Tirsense,U. Madeira
117,1994-1995,14,Beira-Mar,Marítimo
118,1994-1995,14,U. Madeira,Sp. Braga
119,1994-1995,14,V. Setúbal,Tirsense
120,1994-1995,14,Desp. Chaves,Belenenses
121,1994-1995,14,Gil Vicente,E. Amadora
122,1994-1995,14,FC Porto,Sporting
123,1994-1995,14,V. Guimarães,Farense
124,1994-1995,14,Benfica,Boavista
125,1994-1995,14,U. Leiria,Salgueiros
126,1994-1995,15,Marítimo,Farense
127,1994-1995,15,Sp. Braga,V. Setúbal
128,1994-1995,15,E. Amadora,Desp. Chaves
129,1994-1995,15,Salgueiros,Benfica
130,1994-1995,15,Sporting,Gil Vicente
131,1994-1995,15,Belenenses,V. Guimarães
132,1994-1995,15,Beira-Mar,U. Madeira
133,1994-1995,15,Boavista,FC Porto
134,1994-1995,15,Tirsense,U. Leiria
135,1994-1995,16,Desp. Chaves,Sporting
136,1994-1995,16,Gil Vicente,Boavista
137,1994-1995,16,V. Setúbal,Beira-Mar
138,1994-1995,16,U. Leiria,Sp. Braga
139,1994-1995,16,Marítimo,U. Madeira
140,1994-1995,16,Farense,Belenenses
141,1994-1995,16,Benfica,Tirsense
142,1994-1995,16,FC Porto,Salgueiros
143,1994-1995,16,V. Guimarães,E. Amadora
144,1994-1995,17,Sp. Braga,Benfica
145,1994-1995,17,E. Amadora,Farense
146,1994-1995,17,U. Madeira,V. Setúbal
147,1994-1995,17,Belenenses,Marítimo
148,1994-1995,17,Beira-Mar,U. Leiria
149,1994-1995,17,Salgueiros,Gil Vicente
150,1994-1995,17,Tirsense,FC Porto
151,1994-1995,17,Sporting,V. Guimarães
152,1994-1995,17,Boavista,Desp. Chaves
153,1994-1995,18,U. Madeira,U. Leiria
154,1994-1995,18,Beira-Mar,Benfica
155,1994-1995,18,V. Setúbal,Marítimo
156,1994-1995,18,E. Amadora,Belenenses
157,1994-1995,18,Salgueiros,Desp. Chaves
158,1994-1995,18,Sporting,Farense
159,1994-1995,18,Boavista,V. Guimarães
160,1994-1995,18,Tirsense,Gil Vicente
161,1994-1995,18,Sp. Braga,FC Porto
162,1994-1995,19,Farense,Boavista
163,1994-1995,19,Gil Vicente,Sp. Braga
164,1994-1995,19,Marítimo,E. Amadora
165,1994-1995,19,Belenenses,Sporting
166,1994-1995,19,Desp. Chaves,Tirsense
167,1994-1995,19,U. Leiria,V. Setúbal
168,1994-1995,19,Benfica,U. Madeira
169,1994-1995,19,FC Porto,Beira-Mar
170,1994-1995,19,V. Guimarães,Salgueiros
171,1994-1995,20,U. Leiria,Marítimo
172,1994-1995,20,Beira-Mar,Gil Vicente
173,1994-1995,20,Salgueiros,Farense
174,1994-1995,20,V. Setúbal,Benfica
175,1994-1995,20,Sp. Braga,Desp. Chaves
176,1994-1995,20,Tirsense,V. Guimarães
177,1994-1995,20,Sporting,E. Amadora
178,1994-1995,20,U. Madeira,FC Porto
179,1994-1995,20,Boavista,Belenenses
180,1994-1995,21,E. Amadora,Boavista
181,1994-1995,21,Belenenses,Salgueiros
182,1994-1995,21,Desp. Chaves,Beira-Mar
183,1994-1995,21,Gil Vicente,U. Madeira
184,1994-1995,21,Marítimo,Sporting
185,1994-1995,21,Farense,Tirsense
186,1994-1995,21,Benfica,U. Leiria
187,1994-1995,21,FC Porto,V. Setúbal
188,1994-1995,21,V. Guimarães,Sp. Braga
189,1994-1995,22,U. Madeira,Desp. Chaves
190,1994-1995,22,Beira-Mar,V. Guimarães
191,1994-1995,22,V. Setúbal,Gil Vicente
192,1994-1995,22,Salgueiros,E. Amadora
193,1994-1995,22,Benfica,Marítimo
194,1994-1995,22,U. Leiria,FC Porto
195,1994-1995,22,Tirsense,Belenenses
196,1994-1995,22,Sp. Braga,Farense
197,1994-1995,22,Boavista,Sporting
198,1994-1995,23,Farense,Beira-Mar
199,1994-1995,23,Sporting,Salgueiros
200,1994-1995,23,Gil Vicente,U. Leiria
201,1994-1995,23,E. Amadora,Tirsense
202,1994-1995,23,Marítimo,Boavista
203,1994-1995,23,Belenenses,Sp. Braga
204,1994-1995,23,FC Porto,Benfica
205,1994-1995,23,V. Guimarães,U. Madeira
206,1994-1995,23,Desp. Chaves,V. Setúbal
207,1994-1995,24,Benfica,Gil Vicente
208,1994-1995,24,Tirsense,Sporting
209,1994-1995,24,V. Setúbal,V. Guimarães
210,1994-1995,24,U. Madeira,Farense
211,1994-1995,24,Beira-Mar,Belenenses
212,1994-1995,24,Sp. Braga,E. Amadora
213,1994-1995,24,FC Porto,Marítimo
214,1994-1995,24,U. Leiria,Desp. Chaves
215,1994-1995,24,Salgueiros,Boavista
216,1994-1995,25,Sporting,Sp. Braga
217,1994-1995,25,Boavista,Tirsense
218,1994-1995,25,Desp. Chaves,Benfica
219,1994-1995,25,E. Amadora,Beira-Mar
220,1994-1995,25,Belenenses,U. Madeira
221,1994-1995,25,Marítimo,Salgueiros
222,1994-1995,25,V. Guimarães,U. Leiria
223,1994-1995,25,Farense,V. Setúbal
224,1994-1995,25,Gil Vicente,FC Porto
225,1994-1995,26,Beira-Mar,Sporting
226,1994-1995,26,FC Porto,Desp. Chaves
227,1994-1995,26,U. Madeira,E. Amadora
228,1994-1995,26,V. Setúbal,Belenenses
229,1994-1995,26,Gil Vicente,Marítimo
230,1994-1995,26,U. Leiria,Farense
231,1994-1995,26,Benfica,V. Guimarães
232,1994-1995,26,Sp. Braga,Boavista
233,1994-1995,26,Tirsense,Salgueiros
234,1994-1995,27,Farense,Benfica
235,1994-1995,27,Desp. Chaves,Gil Vicente
236,1994-1995,27,E. Amadora,V. Setúbal
237,1994-1995,27,Belenenses,U. Leiria
238,1994-1995,27,Salgueiros,Sp. Braga
239,1994-1995,27,V. Guimarães,FC Porto
240,1994-1995,27,Marítimo,Tirsense
241,1994-1995,27,Sporting,U. Madeira
242,1994-1995,27,Boavista,Beira-Mar
243,1994-1995,28,Benfica,Belenenses
244,1994-1995,28,V. Setúbal,Sporting
245,1994-1995,28,U. Madeira,Boavista
246,1994-1995,28,Beira-Mar,Salgueiros
247,1994-1995,28,Desp. Chaves,Marítimo
248,1994-1995,28,Gil Vicente,V. Guimarães
249,1994-1995,28,FC Porto,Farense
250,1994-1995,28,U. Leiria,E. Amadora
251,1994-1995,28,Sp. Braga,Tirsense
252,1994-1995,29,Salgueiros,U. Madeira
253,1994-1995,29,E. Amadora,Benfica
254,1994-1995,29,Boavista,V. Setúbal
255,1994-1995,29,Tirsense,Beira-Mar
256,1994-1995,29,Sporting,U. Leiria
257,1994-1995,29,Farense,Gil Vicente
258,1994-1995,29,V. Guimarães,Desp. Chaves
259,1994-1995,29,Marítimo,Sp. Braga
260,1994-1995,29,Belenenses,FC Porto
261,1994-1995,30,U. Madeira,Tirsense
262,1994-1995,30,Desp. Chaves,Farense
263,1994-1995,30,V. Setúbal,Salgueiros
264,1994-1995,30,Beira-Mar,Sp. Braga
265,1994-1995,30,Gil Vicente,Belenenses
266,1994-1995,30,FC Porto,E. Amadora
267,1994-1995,30,V. Guimarães,Marítimo
268,1994-1995,30,U. Leiria,Boavista
269,1994-1995,30,Benfica,Sporting
270,1994-1995,31,Tirsense,V. Setúbal
271,1994-1995,31,Boavista,Benfica
272,1994-1995,31,Marítimo,Beira-Mar
273,1994-1995,31,Sporting,FC Porto
274,1994-1995,31,Farense,V. Guimarães
275,1994-1995,31,Belenenses,Desp. Chaves
276,1994-1995,31,Salgueiros,U. Leiria
277,1994-1995,31,Sp. Braga,U. Madeira
278,1994-1995,31,E. Amadora,Gil Vicente
279,1994-1995,32,Gil Vicente,Sporting
280,1994-1995,32,U. Leiria,Tirsense
281,1994-1995,32,V. Setúbal,Sp. Braga
282,1994-1995,32,U. Madeira,Beira-Mar
283,1994-1995,32,Desp. Chaves,E. Amadora
284,1994-1995,32,Farense,Marítimo
285,1994-1995,32,Benfica,Salgueiros
286,1994-1995,32,FC Porto,Boavista
287,1994-1995,32,V. Guimarães,Belenenses
288,1994-1995,33,Belenenses,Farense
289,1994-1995,33,U. Madeira,Marítimo
290,1994-1995,33,Beira-Mar,V. Setúbal
291,1994-1995,33,Salgueiros,FC Porto
292,1994-1995,33,E. Amadora,V. Guimarães
293,1994-1995,33,Sp. Braga,U. Leiria
294,1994-1995,33,Tirsense,Benfica
295,1994-1995,33,Sporting,Desp. Chaves
296,1994-1995,33,Boavista,Gil Vicente
297,1994-1995,34,Gil Vicente,Salgueiros
298,1994-1995,34,Desp. Chaves,Boavista
299,1994-1995,34,V. Setúbal,U. Madeira
300,1994-1995,34,Marítimo,Belenenses
301,1994-1995,34,V. Guimarães,Sporting
302,1994-1995,34,FC Porto,Tirsense
303,1994-1995,34,Benfica,Sp. Braga
