,Season,Jogador,J,G,PEN,AG,MPG,GTIT,GSUP,GPTS,GVIT,GRVV,PGE
0,9495,Hassan Nader [Farense],31.0,21.0,3.0,0.0,131.0,21.0,0.0,1.0,5.0,0.0,48.0
1,9495,Domingos Paciência [FC Porto],32.0,19.0,2.0,0.0,114.0,17.0,2.0,0.0,2.0,0.0,26.0
2,9495,Marcelo [Tirsense],33.0,17.0,3.0,0.0,163.0,17.0,0.0,0.0,3.0,0.0,49.0
3,9495,Artur [Boavista],32.0,16.0,4.0,0.0,175.0,16.0,0.0,1.0,1.0,0.0,40.0
4,9495,Edmílson [SC Salgueiros],34.0,15.0,1.0,0.0,198.0,15.0,0.0,1.0,2.0,0.0,35.0
5,9495,Isaías [Benfica],23.0,14.0,0.0,0.0,128.0,12.0,2.0,2.0,1.0,1.0,23.0
6,9495,Edinho [GD Chaves],32.0,14.0,4.0,0.0,194.0,13.0,1.0,1.0,2.0,0.0,42.0
7,9495,Paulo Alves [Marítimo],33.0,14.0,1.0,0.0,199.0,14.0,0.0,1.0,3.0,0.0,34.0
8,9495,Nelson Bertollazzi [UD Leiria],32.0,12.0,0.0,0.0,235.0,12.0,0.0,1.0,2.0,2.0,29.0
9,9495,Alex Bunbury [Marítimo],33.0,11.0,0.0,0.0,253.0,11.0,0.0,0.0,2.0,1.0,27.0
10,9495,Andrzej Juskowiak [Sporting],25.0,10.0,0.0,0.0,199.0,10.0,0.0,0.0,2.0,0.0,17.0
11,9495,Ivaylo Yordanov [Sporting],16.0,9.0,0.0,0.0,148.0,9.0,0.0,0.0,2.0,0.0,15.0
12,9495,Edílson [Benfica],23.0,9.0,0.0,0.0,187.0,8.0,1.0,1.0,1.0,0.0,15.0
13,9495,Rui Barros [FC Porto],27.0,9.0,0.0,0.0,189.0,8.0,1.0,0.0,0.0,0.0,12.0
14,9495,Erwin Sánchez [Boavista],31.0,9.0,0.0,0.0,272.0,9.0,0.0,2.0,1.0,0.0,23.0
15,9495,Gilmar [V. Guimarães],31.0,9.0,1.0,0.0,283.0,8.0,1.0,2.0,1.0,0.0,17.0
16,9495,Claudio Caniggia [Benfica],24.0,8.0,1.0,0.0,248.0,8.0,0.0,0.0,0.0,0.0,13.0
17,9495,Zé Carlos Nascimento [FC Porto],28.0,8.0,0.0,0.0,308.0,8.0,0.0,0.0,0.0,0.0,11.0
18,9495,Makopoloka Mangonga [Gil Vicente],25.0,7.0,0.0,0.0,234.0,4.0,3.0,0.0,1.0,0.0,23.0
19,9495,Emmanuel Amuneke [Sporting],21.0,7.0,0.0,0.0,248.0,7.0,0.0,1.0,2.0,0.0,12.0
0,9596,Domingos Paciência [FC Porto],29.0,25.0,2.0,0.0,97.0,25.0,0.0,0.0,6.0,1.0,30.0
1,9596,João Vieira Pinto [Benfica],31.0,18.0,2.0,0.0,151.0,18.0,0.0,0.0,2.0,0.0,31.0
